segment Vanuatu
-17.027 168.578
-17.02 168.585
-17.022 168.589
-17.028 168.59
-17.032 168.586
-17.033 168.58
segment Vanuatu
-17.039 168.381
-17.036 168.389
-17.039 168.405
-17.046 168.417
-17.057 168.431
-17.063 168.426
-17.066 168.421
-17.065 168.395
-17.068 168.389
-17.077 168.382
-17.082 168.377
-17.095 168.366
-17.101 168.353
-17.1 168.347
-17.097 168.345
-17.093 168.332
-17.092 168.331
-17.086 168.332
-17.08 168.33
-17.077 168.333
-17.074 168.341
-17.06 168.366
-17.044 168.376
-17.039 168.381
segment Vanuatu
-17.134 168.437
-17.138 168.443
-17.143 168.443
-17.145 168.437
-17.135 168.426
-17.134 168.427
-17.132 168.433
-17.134 168.437
segment Vanuatu
-17.268 168.434
-17.263 168.429
-17.261 168.419
-17.255 168.416
-17.247 168.419
-17.245 168.422
-17.248 168.425
-17.256 168.426
-17.264 168.434
-17.268 168.434
segment Vanuatu
-17.425 168.328
-17.421 168.33
-17.421 168.336
-17.415 168.347
-17.416 168.35
-17.423 168.353
-17.433 168.354
-17.438 168.359
-17.457 168.371
-17.462 168.375
-17.473 168.385
-17.479 168.387
-17.485 168.386
-17.487 168.383
-17.487 168.377
-17.487 168.369
-17.477 168.347
-17.437 168.324
-17.425 168.328
segment Vanuatu
-17.471 168.486
-17.47 168.491
-17.47 168.498
-17.472 168.502
-17.478 168.503
-17.482 168.503
-17.493 168.497
-17.493 168.494
-17.499 168.487
-17.5 168.484
-17.499 168.48
-17.496 168.477
-17.492 168.476
-17.485 168.473
-17.481 168.475
-17.474 168.48
-17.471 168.486
segment Vanuatu
-17.486 168.402
-17.489 168.408
-17.495 168.417
-17.502 168.42
-17.507 168.418
-17.505 168.413
-17.507 168.405
-17.506 168.402
-17.489 168.39
-17.485 168.397
-17.486 168.402
segment Vanuatu
-17.51 168.292
-17.524 168.303
-17.529 168.305
-17.53 168.303
-17.53 168.292
-17.539 168.273
-17.548 168.267
-17.55 168.266
-17.551 168.264
-17.55 168.256
-17.553 168.252
-17.552 168.244
-17.554 168.24
-17.571 168.223
