segment Bolivia
-14.461 -60.366
-14.471 -60.354
-14.477 -60.353
-14.484 -60.354
-14.49 -60.349
-14.496 -60.341
-14.501 -60.337
-14.509 -60.334
-14.527 -60.334
-14.537 -60.335
-14.542 -60.335
-14.546 -60.339
-14.548 -60.349
-14.542 -60.362
-14.543 -60.366
-14.545 -60.367
-14.551 -60.368
-14.596 -60.354
-14.623 -60.361
-14.627 -60.359
-14.635 -60.372
-14.641 -60.384
-14.646 -60.39
-14.663 -60.401
-14.681 -60.407
-14.686 -60.407
-14.693 -60.406
-14.729 -60.412
-14.75 -60.413
-14.767 -60.42
-14.775 -60.422
-14.81 -60.416
-14.813 -60.43
-14.938 -60.41
-15 -60.4
-15.063 -60.39
-15.105 -60.383
-15.105 -60.469
-15.105 -60.565
-15.114 -60.56
-15.131 -60.545
-15.226 -60.46
-15.322 -60.374
-15.417 -60.289
-15.476 -60.236
-15.524 -60.232
-15.65 -60.224
-15.776 -60.215
-15.902 -60.206
-16 -60.194
-16.118 -60.184
-16.244 -60.174
-16.265 -60.173
-16.266 -60.16
-16.267 -60.136
-16.27 -60.07
-16.273 -60
-16.274 -59.983
-16.272 -59.972
-16.274 -59.97
-16.275 -59.94
-16.275 -59.913
-16.276 -59.809
-16.276 -59.801
-16.278 -59.789
-16.276 -59.786
-16.276 -59.679
-16.276 -59.675
-16.277 -59.549
-16.278 -59.495
-16.281 -59.418
-16.281 -59.413
-16.28 -59.357
-16.281 -59.347
-16.284 -59.303
-16.286 -59.288
-16.29 -59.262
-16.291 -59.239
-16.29 -59.227
-16.293 -59.158
-16.299 -59.027
-16.304 -58.897
-16.307 -58.816
-16.307 -58.797
-16.305 -58.775
-16.305 -58.767
-16.305 -58.758
-16.311 -58.737
-16.312 -58.711
-16.309 -58.688
-16.313 -58.669
-16.314 -58.637
-16.315 -58.609
-16.32 -58.56
-16.319 -58.536
-16.323 -58.507
-16.325 -58.471
-16.324 -58.446
-16.32 -58.43
-16.312 -58.419
-16.311 -58.415
-16.303 -58.403
-16.29 -58.393
-16.287 -58.393
-16.268 -58.391
-16.266 -58.388
-16.272 -58.381
-16.276 -58.372
-16.268 -58.313
-16.27 -58.309
-16.276 -58.308
-16.294 -58.311
-16.304 -58.313
-16.315 -58.317
-16.346 -58.322
-16.356 -58.323
-16.379 -58.321
-16.39 -58.325
-16.397 -58.329
-16.403 -58.337
-16.412 -58.341
-16.421 -58.351
-16.439 -58.356
-16.454 -58.353
-16.469 -58.34
-16.476 -58.333
-16.493 -58.332
-16.505 -58.334
-16.515 -58.335
-16.518 -58.338
-16.518 -58.342
-16.523 -58.345
-16.531 -58.342
-16.537 -58.34
-16.542 -58.34
-16.546 -58.345
-16.55 -58.352
-16.55 -58.359
-16.552 -58.368
-16.559 -58.372
