segment Mississippi
30.999 -91.225
30.999 -91.232
30.999 -91.246
30.999 -91.348
30.999 -91.414
30.999 -91.415
30.999 -91.424
30.999 -91.426
30.999 -91.487
30.999 -91.488
30.999 -91.497
30.999 -91.5
30.999 -91.539
30.999 -91.625
30.999 -91.637
31.005 -91.625
31.011 -91.606
31.017 -91.59
31.024 -91.578
31.03 -91.572
31.039 -91.564
31.044 -91.562
31.046 -91.561
31.05 -91.56
31.054 -91.56
31.061 -91.561
31.067 -91.564
31.07 -91.568
31.074 -91.573
31.081 -91.582
31.091 -91.595
31.102 -91.61
31.104 -91.615
31.107 -91.619
31.11 -91.622
31.117 -91.626
31.119 -91.626
31.129 -91.626
31.132 -91.625
31.134 -91.624
31.137 -91.622
31.154 -91.605
31.155 -91.604
31.16 -91.6
31.163 -91.597
31.173 -91.591
31.174 -91.591
31.179 -91.589
31.181 -91.589
31.189 -91.589
31.191 -91.589
31.194 -91.59
31.202 -91.595
31.209 -91.602
31.218 -91.614
31.226 -91.625
31.234 -91.644
31.243 -91.652
31.25 -91.655
31.252 -91.655
31.256 -91.654
31.26 -91.651
31.262 -91.649
31.267 -91.641
31.268 -91.638
31.268 -91.621
31.266 -91.607
31.263 -91.588
31.261 -91.574
31.262 -91.566
31.262 -91.564
31.262 -91.563
31.263 -91.555
31.263 -91.554
31.263 -91.552
31.267 -91.541
31.267 -91.538
31.268 -91.536
31.275 -91.519
31.278 -91.516
31.284 -91.512
31.292 -91.509
31.296 -91.508
31.313 -91.508
31.315 -91.509
31.317 -91.51
31.323 -91.519
31.324 -91.52
31.332 -91.532
31.333 -91.533
31.338 -91.536
31.343 -91.544
31.344 -91.546
31.345 -91.547
31.347 -91.549
31.349 -91.549
31.354 -91.549
31.361 -91.551
31.364 -91.551
31.375 -91.55
31.376 -91.55
31.377 -91.549
31.381 -91.547
31.382 -91.546
31.386 -91.552
31.386 -91.556
31.385 -91.561
31.383 -91.563
31.378 -91.569
31.385 -91.571
31.391 -91.574
31.399 -91.578
31.404 -91.578
31.41 -91.576
31.419 -91.57
31.423 -91.565
31.429 -91.555
31.431 -91.553
31.433 -91.548
31.433 -91.545
31.432 -91.542
31.431 -91.541
31.424 -91.537
31.423 -91.537
31.418 -91.54
31.414 -91.539
31.392 -91.533
31.39 -91.532
31.387 -91.531
31.382 -91.528
31.381 -91.527
31.38 -91.526
31.377 -91.523
31.375 -91.522
31.374 -91.521
31.37 -91.516
31.367 -91.509
31.366 -91.508
31.366 -91.507
31.365 -91.504
31.365 -91.479
31.375 -91.468
31.381 -91.465
31.384 -91.465
31.387 -91.465
31.39 -91.466
31.391 -91.467
31.398 -91.471
31.41 -91.48
31.419 -91.489
31.429 -91.501
31.433 -91.505
31.439 -91.51
31.444 -91.513
31.449 -91.515
31.461 -91.517
31.483 -91.518
31.498 -91.517
31.503 -91.515
31.51 -91.515
31.512 -91.517
31.513 -91.521
31.517 -91.523
31.52 -91.523
31.522 -91.523
31.524 -91.521
31.531 -91.516
31.532 -91.514
31.533 -91.511
31.533 -91.507
31.533 -91.5
31.534 -91.49
31.533 -91.484
31.531 -91.481
31.53 -91.48
31.534 -91.467
31.538 -91.455
31.54 -91.45
31.542 -91.444
31.546 -91.438
31.554 -91.427
31.555 -91.426
31.559 -91.419
31.562 -91.415
31.563 -91.414
31.568 -91.409
31.569 -91.408
31.57 -91.408
31.572 -91.407
31.575 -91.406
31.576 -91.406
31.576 -91.405
31.578 -91.405
31.585 -91.404
31.59 -91.404
31.595 -91.413
31.596 -91.417
31.597 -91.423
31.597 -91.429
31.596 -91.431
31.596 -91.432
31.596 -91.434
31.595 -91.436
31.588 -91.458
31.586 -91.466
31.586 -91.467
31.586 -91.477
31.585 -91.479
31.586 -91.48
31.586 -91.483
31.586 -91.485
31.586 -91.486
31.587 -91.488
31.587 -91.489
31.59 -91.494
31.596 -91.503
31.607 -91.513
31.612 -91.517
31.613 -91.517
31.619 -91.518
31.627 -91.517
31.63 -91.515
31.635 -91.512
31.639 -91.507
31.645 -91.499
31.645 -91.498
31.645 -91.494
31.644 -91.493
31.641 -91.49
31.637 -91.488
31.632 -91.483
31.629 -91.48
31.625 -91.474
31.62 -91.464
31.613 -91.437
31.611 -91.43
31.612 -91.421
31.613 -91.416
31.614 -91.415
31.62 -91.401
31.622 -91.4
31.626 -91.398
31.638 -91.396
31.639 -91.396
31.644 -91.396
31.663 -91.398
31.67 -91.399
31.688 -91.4
31.698 -91.4
31.699 -91.4
31.709 -91.398
31.711 -91.397
31.732 -91.381
31.733 -91.38
31.743 -91.372
31.747 -91.365
31.748 -91.356
31.749 -91.353
31.75 -91.351
31.751 -91.348
31.754 -91.346
31.758 -91.346
31.759 -91.347
31.759 -91.349
31.76 -91.356
31.762 -91.361
31.765 -91.365
31.776 -91.364
31.78 -91.364
31.782 -91.363
31.799 -91.36
31.843 -91.346
31.843 -91.345
31.846 -91.344
31.847 -91.343
31.851 -91.338
31.853 -91.334
31.855 -91.327
31.86 -91.295
31.86 -91.294
31.86 -91.293
31.847 -91.289
31.834 -91.29
31.829 -91.289
31.828 -91.289
31.824 -91.288
31.818 -91.285
31.815 -91.282
31.813 -91.28
31.811 -91.277
31.809 -91.269
31.809 -91.262
31.81 -91.261
31.812 -91.256
31.813 -91.256
31.813 -91.255
31.818 -91.25
31.822 -91.247
31.83 -91.245
31.831 -91.245
31.832 -91.245
31.833 -91.246
31.846 -91.261
31.851 -91.267
31.853 -91.268
31.855 -91.269
31.859 -91.269
31.863 -91.268
31.864 -91.267
31.864 -91.266
31.865 -91.264
31.87 -91.248
31.877 -91.235
31.877 -91.234
31.885 -91.227
31.9 -91.209
31.904 -91.205
31.908 -91.203
31.909 -91.201
31.909 -91.198
31.91 -91.194
31.91 -91.193
31.913 -91.191
31.914 -91.189
31.916 -91.183
31.918 -91.181
31.919 -91.181
31.92 -91.181
31.924 -91.185
31.926 -91.185
31.933 -91.184
31.935 -91.185
31.934 -91.191
31.935 -91.193
31.936 -91.193
