segment Wisconsin
44.719 -87.344
44.702 -87.354
44.684 -87.368
44.676 -87.373
44.667 -87.378
44.652 -87.387
44.641 -87.394
44.631 -87.402
44.628 -87.405
44.627 -87.405
44.621 -87.418
44.618 -87.422
44.608 -87.433
44.607 -87.436
44.605 -87.437
44.588 -87.446
44.586 -87.447
44.552 -87.468
44.511 -87.484
44.504 -87.484
44.48 -87.489
44.477 -87.49
44.473 -87.492
44.466 -87.496
44.461 -87.499
44.46 -87.499
44.454 -87.5
44.444 -87.502
44.443 -87.502
44.442 -87.503
44.424 -87.506
44.414 -87.511
44.414 -87.512
44.394 -87.518
44.39 -87.518
44.376 -87.518
44.375 -87.518
44.368 -87.521
44.351 -87.533
44.351 -87.534
44.331 -87.542
44.328 -87.543
44.321 -87.545
44.308 -87.545
44.307 -87.545
44.305 -87.544
44.293 -87.541
44.263 -87.523
44.261 -87.522
44.26 -87.522
44.243 -87.515
44.241 -87.513
44.23 -87.508
44.211 -87.507
44.194 -87.513
44.193 -87.513
44.191 -87.514
44.18 -87.52
44.16 -87.54
44.157 -87.544
44.155 -87.548
44.153 -87.549
44.144 -87.563
44.138 -87.583
44.135 -87.59
44.132 -87.601
44.122 -87.62
44.122 -87.621
44.114 -87.633
44.108 -87.642
44.107 -87.643
44.105 -87.647
44.102 -87.648
44.095 -87.65
44.092 -87.651
44.092 -87.652
44.082 -87.655
44.078 -87.655
44.067 -87.653
44.058 -87.655
44.052 -87.656
44.049 -87.659
44.047 -87.661
44.037 -87.671
44.024 -87.681
44.021 -87.683
44.02 -87.683
44.019 -87.684
44.014 -87.686
43.999 -87.692
43.99 -87.696
43.98 -87.697
43.966 -87.699
43.958 -87.703
43.957 -87.704
43.956 -87.704
43.944 -87.716
43.938 -87.719
43.935 -87.72
43.934 -87.72
43.918 -87.724
43.915 -87.724
43.913 -87.725
43.903 -87.727
43.892 -87.731
43.887 -87.733
43.88 -87.736
43.874 -87.736
43.853 -87.729
43.84 -87.729
43.834 -87.73
43.832 -87.73
43.829 -87.729
43.819 -87.728
43.814 -87.727
43.81 -87.726
43.806 -87.724
43.791 -87.715
43.786 -87.712
43.782 -87.709
43.767 -87.7
43.761 -87.7
43.754 -87.702
43.752 -87.702
43.75 -87.703
43.749 -87.703
43.745 -87.705
43.743 -87.708
43.736 -87.71
43.732 -87.709
43.723 -87.708
43.712 -87.705
43.706 -87.703
43.702 -87.703
43.701 -87.703
43.693 -87.703
43.688 -87.703
43.68 -87.706
43.679 -87.706
43.679 -87.707
43.657 -87.722
43.652 -87.726
43.644 -87.731
43.639 -87.734
43.629 -87.742
43.579 -87.781
43.578 -87.781
43.564 -87.79
43.563 -87.79
43.551 -87.793
43.543 -87.794
43.542 -87.794
43.528 -87.797
43.527 -87.798
43.511 -87.797
43.51 -87.797
43.509 -87.797
43.505 -87.796
43.501 -87.795
43.5 -87.795
43.497 -87.794
43.493 -87.793
43.492 -87.794
43.486 -87.796
43.47 -87.804
43.461 -87.808
43.459 -87.809
43.456 -87.811
43.453 -87.814
43.446 -87.819
43.435 -87.827
43.417 -87.844
43.405 -87.856
43.394 -87.865
43.39 -87.867
43.38 -87.873
43.369 -87.877
43.369 -87.878
43.352 -87.882
43.339 -87.884
43.328 -87.886
43.308 -87.889
43.294 -87.897
43.284 -87.902
43.28 -87.903
43.25 -87.912
43.237 -87.91
43.236 -87.91
43.233 -87.909
43.232 -87.909
43.221 -87.905
43.22 -87.904
43.219 -87.904
43.197 -87.896
43.192 -87.892
43.187 -87.888
43.171 -87.881
43.17 -87.881
43.155 -87.889
43.154 -87.889
43.149 -87.892
43.147 -87.893
43.137 -87.9
43.133 -87.901
43.127 -87.901
43.126 -87.9
43.125 -87.9
43.122 -87.898
43.115 -87.894
43.114 -87.893
43.113 -87.892
43.099 -87.876
43.09 -87.873
43.085 -87.871
43.082 -87.869
43.075 -87.867
43.074 -87.866
43.068 -87.869
43.065 -87.87
43.064 -87.87
43.051 -87.882
43.046 -87.89
43.042 -87.895
43.04 -87.896
43.03 -87.898
43.029 -87.899
43.025 -87.898
43.016 -87.896
43.008 -87.892
43.005 -87.89
43.001 -87.888
42.996 -87.883
42.992 -87.879
42.988 -87.872
42.986 -87.869
42.978 -87.857
42.967 -87.849
42.966 -87.848
42.962 -87.845
42.96 -87.845
42.952 -87.844
42.944 -87.843
42.93 -87.844
42.924 -87.845
42.909 -87.846
42.902 -87.847
42.893 -87.847
42.889 -87.848
42.884 -87.846
42.872 -87.841
42.87 -87.84
42.857 -87.835
42.842 -87.827
42.835 -87.823
42.806 -87.794
42.799 -87.783
42.795 -87.777
42.793 -87.774
42.785 -87.767
42.784 -87.767
42.774 -87.77
42.77 -87.773
42.766 -87.776
42.763 -87.778
42.756 -87.78
42.748 -87.782
42.74 -87.781
42.734 -87.78
42.733 -87.78
42.73 -87.779
42.727 -87.779
42.726 -87.779
42.72 -87.78
42.708 -87.782
42.705 -87.784
42.701 -87.785
42.701 -87.787
42.7 -87.787
42.691 -87.794
42.69 -87.795
42.684 -87.798
42.675 -87.803
42.668 -87.806
42.663 -87.808
42.644 -87.815
42.633 -87.817
42.626 -87.818
42.623 -87.818
42.616 -87.82
42.607 -87.819
42.606 -87.819
42.601 -87.817
42.594 -87.815
42.588 -87.811
42.587 -87.811
42.585 -87.812
42.58 -87.813
42.579 -87.813
42.568 -87.813
42.556 -87.813
42.53 -87.812
42.515 -87.81
42.5 -87.804
42.492 -87.8
42.492 -87.816
42.492 -87.821
42.492 -87.844
42.492 -87.852
42.492 -87.859
42.493 -87.886
42.493 -87.9
42.494 -87.95
42.494 -87.971
42.495 -87.99
42.495 -88.05
42.495 -88.062
42.496 -88.07
42.496 -88.072
42.496 -88.079
42.496 -88.115
42.496 -88.188
42.496 -88.2
42.496 -88.217
42.496 -88.25
42.495 -88.261
42.495 -88.266
42.495 -88.272
42.495 -88.275
42.495 -88.276
42.495 -88.285
42.495 -88.299
42.495 -88.305
