segment Nebraska
41.997 -96.222
41.998 -96.222
42.004 -96.218
42.007 -96.215
42.009 -96.206
42.009 -96.195
42.006 -96.188
42.003 -96.185
42 -96.184
41.998 -96.184
41.995 -96.185
41.989 -96.19
41.984 -96.192
41.982 -96.192
41.981 -96.191
41.977 -96.186
41.977 -96.184
41.976 -96.177
41.977 -96.174
41.979 -96.168
41.98 -96.161
41.98 -96.159
41.98 -96.157
41.98 -96.155
41.978 -96.142
41.978 -96.141
41.976 -96.136
41.975 -96.133
41.974 -96.132
41.972 -96.13
41.97 -96.129
41.965 -96.129
41.959 -96.132
41.956 -96.133
41.952 -96.135
41.946 -96.143
41.945 -96.144
41.942 -96.145
41.937 -96.143
41.928 -96.137
41.927 -96.137
41.926 -96.136
41.925 -96.136
41.924 -96.136
41.921 -96.137
41.917 -96.139
41.917 -96.14
41.915 -96.142
41.915 -96.144
41.912 -96.154
41.91 -96.159
41.908 -96.161
41.907 -96.161
41.906 -96.162
41.905 -96.162
41.902 -96.162
41.899 -96.159
41.898 -96.159
41.897 -96.158
41.892 -96.152
41.888 -96.149
41.885 -96.147
41.878 -96.147
41.875 -96.146
41.872 -96.144
41.871 -96.144
41.87 -96.143
41.869 -96.142
41.868 -96.141
41.863 -96.135
41.862 -96.133
41.861 -96.131
41.859 -96.123
41.855 -96.117
41.855 -96.116
41.853 -96.114
41.849 -96.11
41.844 -96.108
41.84 -96.108
41.831 -96.111
41.829 -96.111
41.828 -96.111
41.824 -96.11
41.824 -96.109
41.823 -96.109
41.821 -96.108
41.82 -96.106
41.817 -96.104
41.817 -96.103
41.814 -96.098
41.813 -96.094
41.81 -96.081
41.81 -96.08
41.808 -96.076
41.804 -96.07
41.801 -96.067
41.8 -96.067
41.796 -96.065
41.793 -96.065
41.79 -96.066
41.789 -96.066
41.789 -96.067
41.783 -96.073
41.778 -96.078
41.777 -96.078
41.771 -96.079
41.762 -96.078
41.758 -96.08
41.753 -96.085
41.75 -96.092
41.749 -96.096
41.749 -96.097
41.749 -96.098
41.746 -96.103
41.744 -96.105
41.738 -96.106
41.735 -96.106
41.732 -96.106
41.728 -96.103
41.722 -96.088
41.718 -96.08
41.713 -96.075
41.711 -96.073
41.709 -96.072
41.707 -96.072
41.705 -96.073
41.702 -96.076
41.698 -96.082
41.697 -96.091
41.7 -96.105
41.698 -96.112
41.694 -96.118
41.691 -96.12
41.689 -96.121
41.683 -96.122
41.678 -96.121
41.674 -96.118
41.671 -96.115
41.669 -96.111
41.661 -96.1
41.659 -96.098
41.654 -96.096
41.653 -96.095
41.652 -96.095
41.647 -96.095
41.64 -96.098
41.636 -96.101
41.624 -96.114
41.622 -96.116
41.617 -96.118
41.613 -96.118
41.61 -96.118
41.606 -96.116
41.602 -96.114
41.597 -96.109
41.596 -96.109
41.596 -96.108
41.593 -96.104
41.592 -96.102
41.588 -96.089
41.586 -96.086
41.583 -96.083
41.58 -96.082
41.577 -96.081
41.574 -96.081
41.571 -96.082
41.568 -96.085
41.561 -96.092
41.558 -96.094
41.556 -96.094
41.551 -96.096
41.547 -96.096
41.539 -96.094
41.532 -96.09
41.531 -96.088
41.528 -96.08
41.526 -96.076
41.525 -96.074
41.525 -96.073
41.521 -96.068
41.52 -96.068
41.52 -96.067
41.517 -96.065
41.517 -96.064
41.516 -96.064
41.511 -96.058
41.509 -96.054
41.509 -96.053
41.508 -96.051
41.507 -96.048
41.507 -96.046
41.507 -96.041
41.508 -96.038
41.509 -96.037
41.513 -96.034
41.527 -96.031
41.54 -96.028
41.541 -96.027
41.544 -96.023
41.546 -96.02
41.546 -96.016
41.546 -96.01
41.544 -96.005
41.541 -96.001
41.539 -96
41.525 -95.995
41.523 -95.994
41.517 -95.993
41.514 -95.993
41.512 -95.993
41.51 -95.994
41.505 -95.998
41.498 -96.007
41.493 -96.016
41.489 -96.019
41.488 -96.02
41.487 -96.02
41.482 -96.016
41.48 -96.015
41.476 -96.012
41.474 -96.009
41.474 -96.008
41.472 -96.005
41.47 -95.991
41.47 -95.983
41.468 -95.975
41.467 -95.973
41.464 -95.965
41.463 -95.962
41.463 -95.957
41.466 -95.946
41.466 -95.942
41.466 -95.94
41.466 -95.939
41.465 -95.937
41.464 -95.933
41.459 -95.926
41.456 -95.923
41.452 -95.92
41.448 -95.92
41.444 -95.921
41.442 -95.922
41.44 -95.924
41.434 -95.931
41.432 -95.932
41.429 -95.933
41.422 -95.932
41.415 -95.93
41.411 -95.93
41.406 -95.931
41.396 -95.937
41.393 -95.937
41.384 -95.935
41.375 -95.929
41.37 -95.929
41.365 -95.931
41.361 -95.935
41.357 -95.941
41.353 -95.952
41.352 -95.955
41.349 -95.957
41.345 -95.957
41.34 -95.953
41.334 -95.947
41.329 -95.939
41.323 -95.927
41.322 -95.926
41.321 -95.922
41.32 -95.914
41.32 -95.912
41.321 -95.899
41.319 -95.889
41.317 -95.883
41.312 -95.878
41.307 -95.875
41.296 -95.871
41.289 -95.873
41.285 -95.877
41.281 -95.882
41.273 -95.902
41.279 -95.912
41.285 -95.909
41.293 -95.904
41.3 -95.904
41.301 -95.906
41.301 -95.92
41.298 -95.927
41.292 -95.93
41.29 -95.93
41.285 -95.93
41.281 -95.929
41.28 -95.926
41.278 -95.924
41.274 -95.918
41.271 -95.914
41.27 -95.919
41.269 -95.92
41.268 -95.92
41.265 -95.922
41.26 -95.921
41.258 -95.921
41.248 -95.916
41.243 -95.914
41.238 -95.911
41.234 -95.911
41.232 -95.911
41.227 -95.913
41.223 -95.915
41.212 -95.924
41.211 -95.925
41.202 -95.927
41.196 -95.926
41.191 -95.923
41.189 -95.92
41.187 -95.918
41.185 -95.915
41.184 -95.91
41.188 -95.865
41.187 -95.857
41.185 -95.85
41.181 -95.844
41.175 -95.841
41.171 -95.842
41.167 -95.846
41.165 -95.853
41.168 -95.865
41.169 -95.867
41.169 -95.87
41.168 -95.871
41.168 -95.872
41.165 -95.876
41.16 -95.881
41.155 -95.883
41.151 -95.883
41.144 -95.882
41.138 -95.879
41.125 -95.869
41.118 -95.866
41.101 -95.865
41.094 -95.863
41.088 -95.863
41.086 -95.863
41.084 -95.864
41.082 -95.865
41.081 -95.865
41.08 -95.865
41.08 -95.866
41.075 -95.871
41.07 -95.878
41.065 -95.881
41.061 -95.882
41.06 -95.882
41.057 -95.882
41.053 -95.879
41.049 -95.875
41.045 -95.87
41.039 -95.862
41.038 -95.86
41.036 -95.86
41.032 -95.859
41.025 -95.86
41.017 -95.866
41.013 -95.868
41.009 -95.869
41.006 -95.869
41.002 -95.867
41.001 -95.867
41 -95.866
40.999 -95.865
40.997 -95.863
40.996 -95.861
40.995 -95.86
40.994 -95.858
40.993 -95.855
40.992 -95.853
40.99 -95.847
40.99 -95.844
40.989 -95.844
