segment Indiana
37.903 -87.681
37.903 -87.684
37.903 -87.685
37.903 -87.686
37.902 -87.688
37.902 -87.689
37.902 -87.69
37.897 -87.701
37.894 -87.711
37.893 -87.718
37.892 -87.721
37.892 -87.723
37.892 -87.724
37.894 -87.733
37.894 -87.734
37.895 -87.74
37.894 -87.746
37.892 -87.756
37.891 -87.762
37.886 -87.771
37.885 -87.773
37.881 -87.779
37.878 -87.783
37.878 -87.784
37.877 -87.786
37.876 -87.791
37.875 -87.795
37.875 -87.808
37.875 -87.813
37.876 -87.816
37.877 -87.831
37.877 -87.834
37.88 -87.838
37.882 -87.841
37.883 -87.842
37.888 -87.842
37.892 -87.845
37.893 -87.846
37.901 -87.857
37.903 -87.859
37.912 -87.863
37.915 -87.866
37.921 -87.873
37.922 -87.874
37.924 -87.877
37.924 -87.878
37.926 -87.882
37.926 -87.883
37.927 -87.888
37.928 -87.892
37.928 -87.893
37.928 -87.894
37.928 -87.898
37.925 -87.904
37.925 -87.905
37.924 -87.906
37.923 -87.907
37.91 -87.919
37.908 -87.922
37.902 -87.927
37.901 -87.928
37.9 -87.929
37.897 -87.932
37.893 -87.937
37.892 -87.937
37.891 -87.938
37.888 -87.94
37.884 -87.941
37.883 -87.941
37.881 -87.941
37.88 -87.941
37.879 -87.941
37.875 -87.94
37.871 -87.938
37.868 -87.936
37.859 -87.927
37.85 -87.915
37.843 -87.91
37.838 -87.908
37.818 -87.904
37.813 -87.905
37.808 -87.907
37.805 -87.911
37.802 -87.919
37.8 -87.928
37.798 -87.933
37.795 -87.935
37.792 -87.935
37.79 -87.936
37.788 -87.939
37.775 -87.945
37.773 -87.946
37.772 -87.949
37.772 -87.953
37.773 -87.96
37.782 -87.97
37.785 -87.972
37.788 -87.976
37.792 -87.984
37.792 -87.987
37.794 -87.991
37.796 -87.993
37.798 -87.997
37.8 -88.005
37.802 -88.015
37.801 -88.021
37.799 -88.028
37.804 -88.029
37.806 -88.039
37.807 -88.046
37.808 -88.046
37.811 -88.05
37.814 -88.052
37.818 -88.052
37.822 -88.051
37.822 -88.05
37.826 -88.049
37.831 -88.044
37.837 -88.043
37.841 -88.045
37.844 -88.049
37.846 -88.051
37.848 -88.053
37.855 -88.057
37.865 -88.059
37.872 -88.057
37.877 -88.054
37.883 -88.05
37.887 -88.043
37.893 -88.035
37.894 -88.033
37.902 -88.032
37.913 -88.037
37.915 -88.038
37.925 -88.043
37.927 -88.044
37.943 -88.036
37.944 -88.035
37.96 -88.019
37.967 -88.013
37.977 -88.013
38.007 -88.026
38.011 -88.027
38.023 -88.029
38.025 -88.03
38.032 -88.027
38.038 -88.025
38.047 -88.02
38.049 -88.01
38.051 -88.005
38.056 -87.99
38.069 -87.985
38.076 -87.987
38.083 -87.995
38.087 -87.997
38.09 -87.998
38.101 -88
38.108 -87.993
38.111 -87.991
38.122 -87.974
38.127 -87.945
38.129 -87.942
38.131 -87.941
38.135 -87.937
38.136 -87.935
38.141 -87.93
38.145 -87.925
38.148 -87.922
38.154 -87.922
38.157 -87.922
38.16 -87.923
38.163 -87.925
38.169 -87.929
38.172 -87.937
38.184 -87.959
38.198 -87.976
38.21 -87.984
38.222 -87.983
38.228 -87.98
38.23 -87.978
38.233 -87.976
38.237 -87.969
38.237 -87.96
38.239 -87.958
38.247 -87.951
38.255 -87.947
38.257 -87.946
38.269 -87.951
38.274 -87.952
38.277 -87.949
38.289 -87.939
38.289 -87.938
38.292 -87.929
38.29 -87.922
38.285 -87.917
38.282 -87.916
38.277 -87.914
38.274 -87.908
38.276 -87.901
38.276 -87.899
38.285 -87.888
38.288 -87.886
38.293 -87.883
38.3 -87.88
38.301 -87.875
38.299 -87.869
38.296 -87.865
38.292 -87.86
38.289 -87.853
38.291 -87.845
38.294 -87.838
38.299 -87.834
38.307 -87.832
38.309 -87.832
38.324 -87.833
38.325 -87.833
38.327 -87.832
38.344 -87.824
38.346 -87.823
38.347 -87.823
38.36 -87.809
38.363 -87.806
38.365 -87.798
38.371 -87.78
38.372 -87.779
38.393 -87.76
38.409 -87.745
38.414 -87.744
38.422 -87.743
38.436 -87.741
38.443 -87.731
