segment Idaho
42.505 -111.047
42.349 -111.047
42.281 -111.047
42.213 -111.047
42.195 -111.047
42.183 -111.047
42.149 -111.047
42.142 -111.047
42.122 -111.047
42.09 -111.047
42.002 -111.047
42.001 -111.078
42.001 -111.098
42.001 -111.222
42.001 -111.321
42.001 -111.374
42.001 -111.408
42.001 -111.416
42.001 -111.421
42.001 -111.426
42 -111.471
42 -111.507
41.999 -111.701
41.999 -111.751
41.999 -111.813
41.999 -111.857
41.999 -111.876
41.998 -111.916
41.999 -111.916
41.998 -111.933
41.998 -111.977
41.998 -112.012
41.998 -112.11
41.997 -112.164
41.997 -112.173
42.001 -112.193
42.001 -112.227
42.001 -112.239
42.001 -112.265
42.001 -112.365
42.001 -112.386
42.001 -112.451
42.001 -112.506
42 -112.648
42 -112.709
42 -112.789
41.999 -112.833
41.999 -112.881
41.999 -112.882
41.999 -112.91
41.998 -112.979
41.998 -113.001
41.998 -113.008
41.996 -113.249
41.996 -113.251
41.995 -113.34
41.994 -113.358
41.994 -113.396
41.994 -113.402
41.994 -113.432
41.993 -113.496
41.993 -113.497
41.993 -113.501
41.991 -113.649
41.99 -113.696
41.99 -113.753
41.989 -113.765
41.989 -113.796
41.988 -113.822
41.988 -113.884
41.988 -113.887
41.988 -113.893
41.988 -113.901
41.993 -113.994
41.994 -114.042
41.994 -114.048
41.994 -114.062
41.994 -114.107
41.994 -114.282
41.995 -114.468
41.995 -114.498
41.995 -114.598
41.998 -114.721
42.002 -114.806
42.002 -114.831
42.002 -114.866
42.001 -114.876
42 -114.899
42 -114.914
41.996 -115.032
41.996 -115.038
41.996 -115.251
41.997 -115.254
41.997 -115.255
41.996 -115.314
41.997 -115.587
41.997 -115.614
41.997 -115.626
41.997 -115.71
41.997 -115.87
41.998 -115.88
41.998 -115.888
41.998 -115.912
41.999 -115.987
41.998 -116.012
41.998 -116.019
41.997 -116.031
41.997 -116.039
41.998 -116.161
41.998 -116.164
41.997 -116.271
41.997 -116.333
41.997 -116.334
41.996 -116.368
41.996 -116.378
41.997 -116.464
41.997 -116.483
41.997 -116.486
41.997 -116.5
41.997 -116.502
41.997 -116.51
41.998 -116.525
41.998 -116.582
41.997 -116.587
41.997 -116.626
41.998 -116.627
41.999 -116.969
41.998 -117.009
41.999 -117.018
42 -117.026
42.118 -117.026
42.133 -117.027
42.164 -117.026
42.166 -117.026
42.311 -117.026
42.324 -117.026
42.357 -117.026
42.379 -117.027
42.552 -117.027
42.625 -117.027
42.628 -117.027
42.807 -117.026
43.025 -117.027
43.084 -117.027
43.253 -117.027
43.28 -117.027
43.293 -117.027
43.369 -117.027
43.44 -117.027
43.479 -117.027
43.564 -117.027
43.574 -117.027
