segment Maryland
38.272 -76.397
38.267 -76.399
38.264 -76.399
38.263 -76.399
38.259 -76.399
38.258 -76.399
38.226 -76.388
38.218 -76.385
38.208 -76.376
38.192 -76.362
38.189 -76.36
38.178 -76.354
38.167 -76.342
38.155 -76.33
38.139 -76.321
38.139 -76.32
38.138 -76.32
38.134 -76.324
38.127 -76.331
38.119 -76.339
38.119 -76.338
38.111 -76.337
38.109 -76.336
38.099 -76.331
38.093 -76.33
38.072 -76.329
38.059 -76.325
38.046 -76.32
38.043 -76.319
38.039 -76.321
38.037 -76.322
38.045 -76.327
38.05 -76.333
38.054 -76.341
38.054 -76.345
38.053 -76.353
38.06 -76.361
38.079 -76.371
38.08 -76.372
38.087 -76.378
38.09 -76.381
38.091 -76.382
38.102 -76.392
38.103 -76.392
38.104 -76.397
38.107 -76.405
38.107 -76.41
38.107 -76.413
38.104 -76.417
38.106 -76.421
38.107 -76.422
38.119 -76.43
38.124 -76.43
38.126 -76.43
38.136 -76.438
38.139 -76.44
38.139 -76.446
38.139 -76.46
38.137 -76.461
38.128 -76.465
38.12 -76.469
38.119 -76.47
38.116 -76.47
38.111 -76.466
38.109 -76.466
38.106 -76.465
38.103 -76.473
38.105 -76.476
38.116 -76.481
38.12 -76.485
38.129 -76.492
38.132 -76.495
38.136 -76.499
38.137 -76.499
38.137 -76.5
38.141 -76.509
38.141 -76.515
38.14 -76.52
38.139 -76.522
38.139 -76.523
38.134 -76.53
38.151 -76.539
38.152 -76.54
38.153 -76.54
38.165 -76.545
38.171 -76.546
38.176 -76.547
38.177 -76.548
38.18 -76.55
38.187 -76.553
38.193 -76.56
38.195 -76.563
38.198 -76.566
38.2 -76.569
38.204 -76.575
38.213 -76.588
38.214 -76.59
38.214 -76.591
38.224 -76.627
38.225 -76.632
38.226 -76.633
38.225 -76.644
38.23 -76.66
38.234 -76.673
38.234 -76.687
38.234 -76.691
38.233 -76.709
38.233 -76.716
38.234 -76.72
38.234 -76.727
38.235 -76.74
38.234 -76.741
38.231 -76.744
38.225 -76.749
38.222 -76.752
38.223 -76.758
38.227 -76.772
38.228 -76.779
38.237 -76.797
38.248 -76.809
38.25 -76.812
38.252 -76.812
38.252 -76.806
38.254 -76.805
38.275 -76.803
38.28 -76.802
38.281 -76.802
38.281 -76.803
38.284 -76.806
38.299 -76.821
38.3 -76.821
38.3 -76.822
38.301 -76.825
38.3 -76.834
38.298 -76.846
38.292 -76.846
38.289 -76.84
38.274 -76.835
