segment Washington
48.016 -122.702
48.013 -122.71
48.008 -122.723
47.995 -122.72
47.988 -122.718
47.986 -122.716
47.973 -122.701
47.972 -122.683
47.968 -122.679
47.959 -122.676
47.95 -122.681
47.946 -122.684
47.944 -122.685
47.943 -122.685
47.94 -122.684
47.936 -122.682
47.933 -122.669
47.931 -122.662
47.931 -122.658
47.921 -122.651
47.916 -122.654
47.905 -122.655
47.903 -122.653
47.895 -122.646
47.89 -122.637
47.89 -122.619
47.887 -122.61
47.883 -122.618
47.879 -122.625
47.875 -122.632
47.868 -122.634
47.866 -122.636
47.864 -122.65
47.867 -122.666
47.868 -122.694
47.86 -122.691
47.856 -122.687
47.85 -122.682
47.842 -122.683
47.839 -122.684
47.831 -122.689
47.827 -122.696
47.817 -122.713
47.816 -122.714
47.813 -122.72
47.813 -122.721
47.81 -122.731
47.81 -122.732
47.805 -122.74
47.803 -122.743
47.801 -122.748
47.774 -122.751
47.758 -122.758
47.746 -122.758
47.741 -122.749
47.736 -122.74
47.738 -122.734
47.738 -122.733
47.739 -122.732
47.748 -122.723
47.749 -122.723
47.753 -122.722
47.761 -122.72
47.768 -122.715
47.772 -122.706
47.772 -122.705
47.776 -122.697
47.777 -122.694
47.778 -122.691
47.782 -122.689
47.796 -122.685
47.799 -122.684
47.801 -122.682
47.808 -122.672
47.825 -122.648
47.835 -122.625
47.836 -122.623
47.851 -122.615
47.853 -122.612
47.856 -122.609
47.857 -122.608
47.857 -122.601
47.857 -122.579
47.857 -122.578
47.858 -122.574
47.868 -122.573
47.874 -122.573
47.881 -122.576
47.884 -122.578
47.899 -122.585
47.902 -122.586
47.913 -122.588
47.92 -122.596
47.922 -122.605
