segment Iowa
40.87 -91.043
40.868 -91.045
40.865 -91.047
40.859 -91.05
40.848 -91.056
40.846 -91.059
40.842 -91.067
40.833 -91.078
40.825 -91.09
40.821 -91.093
40.82 -91.093
40.812 -91.097
40.806 -91.098
40.804 -91.097
40.802 -91.097
40.798 -91.095
40.793 -91.092
40.79 -91.092
40.789 -91.092
40.787 -91.091
40.781 -91.092
40.78 -91.092
40.778 -91.092
40.774 -91.094
40.772 -91.095
40.767 -91.096
40.763 -91.098
40.757 -91.102
40.754 -91.105
40.751 -91.108
40.746 -91.11
40.725 -91.116
40.722 -91.115
40.72 -91.114
40.708 -91.111
40.703 -91.111
40.697 -91.112
40.696 -91.112
40.692 -91.115
40.676 -91.12
40.673 -91.121
40.671 -91.122
40.669 -91.124
40.661 -91.138
40.654 -91.154
40.638 -91.186
40.637 -91.187
40.637 -91.19
40.636 -91.198
40.638 -91.218
40.638 -91.248
40.638 -91.253
40.637 -91.256
40.637 -91.257
40.637 -91.258
40.634 -91.264
40.634 -91.265
40.634 -91.267
40.632 -91.276
40.628 -91.297
40.628 -91.299
40.626 -91.306
40.626 -91.307
40.626 -91.308
40.625 -91.31
40.616 -91.333
40.613 -91.34
40.613 -91.341
40.61 -91.349
40.607 -91.354
40.606 -91.355
40.602 -91.36
40.583 -91.374
40.574 -91.38
40.559 -91.401
40.555 -91.405
40.552 -91.406
40.548 -91.407
40.543 -91.406
40.539 -91.404
40.537 -91.401
40.535 -91.394
40.533 -91.388
40.531 -91.385
40.528 -91.382
40.513 -91.369
40.51 -91.368
40.5 -91.364
40.494 -91.364
40.49 -91.364
40.484 -91.365
40.476 -91.368
40.475 -91.368
40.474 -91.368
40.467 -91.372
40.465 -91.374
40.456 -91.378
40.452 -91.38
40.45 -91.38
40.447 -91.381
40.446 -91.381
40.443 -91.382
40.438 -91.381
40.437 -91.381
40.435 -91.381
40.433 -91.38
40.431 -91.38
40.43 -91.379
40.426 -91.378
40.418 -91.374
40.411 -91.372
40.401 -91.373
40.399 -91.373
40.392 -91.376
40.39 -91.378
40.388 -91.382
40.387 -91.383
40.386 -91.387
40.385 -91.388
40.385 -91.39
40.384 -91.392
40.384 -91.394
40.383 -91.397
40.383 -91.4
40.382 -91.413
40.381 -91.416
40.378 -91.419
40.381 -91.422
40.381 -91.423
40.382 -91.424
40.382 -91.426
40.384 -91.432
40.385 -91.436
40.385 -91.438
40.386 -91.441
40.379 -91.448
40.378 -91.45
40.376 -91.452
40.375 -91.452
40.376 -91.453
40.376 -91.464
40.376 -91.465
40.378 -91.466
40.381 -91.465
40.385 -91.465
40.383 -91.472
40.382 -91.478
40.382 -91.48
40.382 -91.482
40.384 -91.485
40.393 -91.491
40.395 -91.491
40.4 -91.489
40.402 -91.488
40.404 -91.488
40.404 -91.49
40.402 -91.494
40.402 -91.498
40.404 -91.505
40.404 -91.507
40.406 -91.507
40.407 -91.509
40.409 -91.514
40.409 -91.518
40.41 -91.522
40.411 -91.525
40.413 -91.526
40.417 -91.527
40.42 -91.527
40.426 -91.521
40.431 -91.519
40.433 -91.519
40.434 -91.52
40.433 -91.525
40.434 -91.529
40.437 -91.533
40.438 -91.533
40.438 -91.534
40.441 -91.534
40.443 -91.532
40.447 -91.526
40.448 -91.524
40.45 -91.523
40.452 -91.523
40.456 -91.524
40.458 -91.525
40.459 -91.526
40.459 -91.529
40.459 -91.532
40.459 -91.534
40.458 -91.544
40.459 -91.553
40.461 -91.564
40.462 -91.568
40.466 -91.575
40.471 -91.58
40.473 -91.582
40.475 -91.582
40.479 -91.583
40.487 -91.587
40.492 -91.591
40.495 -91.595
40.5 -91.608
40.502 -91.613
40.505 -91.617
40.507 -91.619
40.51 -91.621
40.514 -91.622
40.517 -91.622
40.526 -91.619
40.534 -91.618
40.539 -91.619
40.541 -91.62
40.542 -91.622
40.543 -91.623
40.543 -91.625
40.544 -91.626
40.546 -91.638
40.549 -91.654
40.551 -91.671
40.553 -91.682
40.557 -91.689
40.56 -91.691
40.562 -91.692
40.565 -91.692
40.577 -91.686
40.579 -91.685
40.581 -91.686
40.583 -91.689
40.588 -91.696
40.595 -91.712
40.599 -91.717
40.602 -91.72
40.614 -91.729
40.611 -91.786
40.611 -91.795
40.611 -91.8
40.611 -91.814
40.61 -91.825
40.61 -91.832
40.61 -91.833
40.608 -91.868
40.606 -91.939
40.606 -91.944
40.605 -91.948
40.605 -91.949
40.605 -91.971
40.604 -91.999
40.604 -92.03
40.603 -92.054
40.603 -92.061
40.603 -92.064
40.603 -92.066
40.603 -92.068
40.603 -92.07
40.602 -92.082
40.602 -92.083
40.602 -92.093
40.602 -92.096
40.601 -92.18
40.6 -92.196
40.6 -92.202
40.6 -92.218
40.6 -92.236
40.599 -92.294
40.598 -92.299
40.598 -92.331
40.597 -92.351
40.597 -92.38
40.596 -92.409
40.596 -92.428
40.595 -92.454
40.595 -92.462
40.595 -92.482
40.595 -92.485
40.594 -92.522
40.594 -92.524
40.592 -92.58
40.591 -92.638
40.591 -92.639
40.59 -92.687
40.59 -92.69
40.589 -92.742
40.589 -92.754
40.589 -92.757
40.589 -92.828
40.588 -92.835
40.588 -92.857
40.588 -92.863
40.588 -92.867
40.588 -92.879
40.588 -92.89
40.588 -92.904
40.588 -92.942
40.588 -92.944
40.587 -92.958
40.587 -92.982
40.584 -93.086
40.584 -93.097
40.584 -93.099
40.583 -93.136
40.582 -93.212
40.581 -93.261
40.581 -93.318
40.581 -93.328
40.581 -93.345
40.58 -93.442
40.58 -93.465
40.58 -93.467
40.58 -93.514
40.58 -93.524
40.58 -93.528
40.58 -93.531
40.58 -93.533
40.58 -93.548
40.58 -93.554
40.58 -93.557
40.58 -93.559
40.58 -93.561
40.58 -93.565
40.58 -93.566
40.579 -93.597
40.578 -93.656
40.578 -93.659
40.578 -93.662
40.578 -93.669
40.578 -93.671
40.578 -93.677
40.578 -93.69
40.578 -93.722
40.578 -93.728
40.578 -93.737
40.578 -93.738
40.578 -93.743
40.578 -93.748
40.578 -93.75
40.578 -93.77
40.577 -93.787
40.577 -93.815
40.577 -93.819
40.577 -93.841
40.577 -93.854
40.576 -93.898
40.576 -93.899
40.576 -93.901
40.576 -93.914
40.575 -93.936
40.575 -93.937
40.575 -93.939
40.575 -93.94
40.575 -93.964
40.575 -93.977
40.574 -94.015
40.574 -94.034
40.573 -94.08
40.573 -94.089
40.573 -94.091
40.573 -94.12
40.573 -94.13
40.572 -94.227
40.572 -94.236
40.572 -94.243
40.572 -94.287
40.571 -94.295
40.572 -94.311
40.571 -94.325
40.571 -94.337
40.571 -94.358
40.571 -94.43
40.571 -94.46
40.571 -94.471
40.571 -94.489
40.571 -94.534
40.571 -94.537
40.571 -94.538
