segment California
34.158 -119.225
34.159 -119.226
34.162 -119.228
34.173 -119.235
34.176 -119.237
34.197 -119.249
34.213 -119.257
34.235 -119.266
34.249 -119.269
34.253 -119.27
34.258 -119.273
34.267 -119.279
34.272 -119.286
34.275 -119.291
34.274 -119.294
34.273 -119.302
34.275 -119.312
34.276 -119.313
34.279 -119.318
34.291 -119.337
34.297 -119.343
34.304 -119.349
34.319 -119.37
34.321 -119.376
34.317 -119.388
34.318 -119.39
34.337 -119.411
34.353 -119.428
34.355 -119.431
34.356 -119.436
34.374 -119.461
34.376 -119.473
34.377 -119.478
34.378 -119.483
34.381 -119.491
34.386 -119.511
34.393 -119.53
34.395 -119.537
34.403 -119.546
34.413 -119.559
34.415 -119.568
34.416 -119.577
34.418 -119.592
34.42 -119.606
34.42 -119.607
34.42 -119.61
34.42 -119.612
34.421 -119.617
34.419 -119.625
34.416 -119.639
34.417 -119.649
34.417 -119.659
34.416 -119.672
34.412 -119.688
34.411 -119.687
34.41 -119.686
34.408 -119.685
34.407 -119.687
34.403 -119.691
34.403 -119.692
34.401 -119.696
34.399 -119.702
34.395 -119.709
34.396 -119.714
34.396 -119.72
34.396 -119.723
34.396 -119.727
34.396 -119.728
34.396 -119.729
34.397 -119.731
34.402 -119.743
34.402 -119.744
34.403 -119.745
34.406 -119.756
34.416 -119.786
34.418 -119.795
34.417 -119.805
34.417 -119.817
34.416 -119.823
34.416 -119.833
34.416 -119.836
34.415 -119.838
34.408 -119.854
34.408 -119.859
34.408 -119.863
34.409 -119.874
34.411 -119.879
34.428 -119.914
34.434 -119.925
34.434 -119.93
34.435 -119.956
34.445 -119.972
34.457 -120.001
34.46 -120.008
34.461 -120.018
34.463 -120.039
34.462 -120.051
34.462 -120.054
34.461 -120.061
34.461 -120.073
34.46 -120.089
34.462 -120.097
34.47 -120.118
34.473 -120.141
34.472 -120.158
34.47 -120.184
34.471 -120.225
34.47 -120.227
34.468 -120.238
34.467 -120.258
34.468 -120.274
34.468 -120.283
34.469 -120.285
34.471 -120.295
34.47 -120.299
34.468 -120.301
34.467 -120.302
34.467 -120.303
34.467 -120.304
34.46 -120.337
34.459 -120.341
34.458 -120.356
34.457 -120.368
34.456 -120.386
34.455 -120.389
34.454 -120.414
34.452 -120.442
34.447 -120.451
34.447 -120.461
34.448 -120.471
34.459 -120.474
34.475 -120.477
34.481 -120.48
34.49 -120.49
34.49 -120.491
34.492 -120.492
34.505 -120.5
34.512 -120.504
34.523 -120.511
34.531 -120.524
34.531 -120.525
34.533 -120.527
34.54 -120.545
34.552 -120.57
34.557 -120.581
34.557 -120.582
34.557 -120.607
34.557 -120.608
34.556 -120.609
34.554 -120.612
34.554 -120.623
34.566 -120.638
34.575 -120.643
34.581 -120.646
34.604 -120.64
34.615 -120.635
34.634 -120.625
34.692 -120.602
34.705 -120.6
34.71 -120.602
34.731 -120.615
34.738 -120.626
34.756 -120.637
34.779 -120.628
34.793 -120.623
34.816 -120.616
34.842 -120.61
34.843 -120.61
34.858 -120.61
34.867 -120.616
34.88 -120.639
