segment Afghanistan
31.292 67.05
31.304 67.044
31.309 67.035
31.311 67.019
31.313 66.986
31.313 66.969
31.311 66.958
31.31 66.952
31.306 66.934
31.296 66.902
31.283 66.867
31.279 66.857
31.264 66.835
31.248 66.822
31.226 66.808
31.224 66.806
31.219 66.802
31.213 66.793
31.21 66.776
31.21 66.758
31.213 66.731
31.206 66.72
31.203 66.718
31.183 66.713
31.161 66.709
31.151 66.704
31.132 66.697
31.115 66.686
31.101 66.688
31.093 66.684
31.075 66.683
31.067 66.667
31.063 66.664
31.06 66.66
31.042 66.639
31.02 66.618
30.988 66.58
30.978 66.563
30.97 66.534
30.968 66.519
30.966 66.507
30.964 66.484
30.962 66.482
30.956 66.446
30.945 66.401
30.941 66.391
30.934 66.387
30.922 66.384
30.915 66.381
30.882 66.372
30.844 66.362
30.773 66.341
30.741 66.333
30.737 66.331
30.705 66.322
30.688 66.316
30.627 66.299
30.61 66.293
30.596 66.289
30.569 66.281
30.563 66.281
30.557 66.283
30.538 66.292
30.509 66.298
30.502 66.305
30.501 66.31
30.493 66.326
30.49 66.328
30.479 66.34
30.456 66.337
30.447 66.339
30.434 66.35
30.427 66.354
30.422 66.354
30.412 66.351
30.393 66.338
30.383 66.335
30.373 66.333
30.355 66.334
30.35 66.337
30.337 66.335
30.317 66.332
30.306 66.327
30.279 66.32
30.243 66.317
30.228 66.31
30.218 66.301
30.202 66.293
30.187 66.287
30.171 66.288
30.164 66.286
30.159 66.284
30.141 66.269
30.129 66.26
30.111 66.257
30.084 66.238
30.066 66.238
30.055 66.242
30.044 66.259
30.022 66.289
30.016 66.3
30.013 66.304
30 66.322
29.974 66.359
29.972 66.362
29.968 66.362
29.958 66.357
29.95 66.346
29.925 66.33
29.913 66.319
29.911 66.313
29.908 66.312
29.891 66.289
29.875 66.27
29.856 66.254
29.851 66.246
29.847 66.231
29.839 66.202
29.833 66.184
29.828 66.165
29.825 66.156
29.814 66.117
29.802 66.072
29.792 66.036
29.784 66.003
29.767 65.938
29.76 65.916
29.754 65.888
29.75 65.875
29.744 65.853
29.738 65.834
29.724 65.781
29.713 65.737
29.711 65.731
29.703 65.698
29.692 65.659
29.687 65.636
29.681 65.611
29.669 65.572
