segment Ukraine
46.481 29.339
46.492 29.332
46.497 29.327
46.503 29.327
46.504 29.335
46.506 29.344
46.506 29.35
46.501 29.356
46.49 29.366
46.485 29.373
46.48 29.376
46.468 29.375
46.461 29.377
46.452 29.387
46.439 29.403
46.433 29.409
46.435 29.416
46.446 29.412
46.453 29.405
46.461 29.401
46.467 29.41
46.485 29.434
46.495 29.448
46.497 29.453
46.491 29.464
46.481 29.488
46.467 29.507
46.465 29.509
46.457 29.507
46.452 29.502
46.444 29.499
46.434 29.505
46.429 29.512
46.414 29.529
46.412 29.537
46.412 29.55
46.409 29.561
46.399 29.567
46.381 29.579
46.364 29.593
46.362 29.606
46.363 29.647
46.364 29.68
46.367 29.694
46.371 29.701
46.375 29.7
46.378 29.695
46.38 29.687
46.384 29.682
46.392 29.678
46.416 29.674
46.439 29.673
46.444 29.674
46.447 29.681
46.443 29.69
46.435 29.695
46.433 29.7
46.435 29.708
46.435 29.714
46.435 29.721
46.434 29.726
46.434 29.737
46.445 29.745
46.455 29.746
46.463 29.742
46.468 29.742
46.471 29.744
46.474 29.747
46.475 29.754
46.47 29.767
46.465 29.775
46.46 29.788
46.455 29.796
46.446 29.794
46.436 29.793
46.43 29.798
46.42 29.81
46.412 29.818
46.402 29.817
46.391 29.816
46.386 29.821
46.382 29.829
46.381 29.84
46.378 29.852
46.372 29.861
46.366 29.877
46.364 29.886
46.368 29.894
46.378 29.896
46.386 29.908
46.395 29.927
46.403 29.947
46.403 29.95
46.4 29.961
46.391 29.986
46.386 29.999
46.386 30
46.382 30.01
46.385 30.024
46.393 30.036
46.397 30.043
46.4 30.052
46.403 30.075
46.399 30.087
46.391 30.093
46.387 30.101
46.391 30.107
46.397 30.117
46.4 30.129
46.406 30.149
46.419 30.157
46.42 30.156
46.428 30.164
46.43 30.16
46.43 30.155
46.428 30.151
46.419 30.143
46.419 30.134
46.43 30.126
46.434 30.116
46.437 30.105
46.437 30.082
46.432 30.078
46.432 30.067
46.433 30.062
46.436 30.059
46.444 30.06
46.446 30.057
46.448 30.038
46.458 30.022
46.458 30.01
46.465 30.001
46.468 30.023
46.471 30.029
46.475 30.026
46.475 30.013
46.474 30.006
46.475 30.002
46.48 30.003
46.484 30.017
46.487 30.01
46.487 30.003
46.488 30
46.49 29.996
46.497 30
46.505 29.994
46.506 29.989
46.504 29.985
46.495 29.98
46.497 29.971
46.495 29.959
46.507 29.968
46.51 29.972
46.514 29.969
46.511 29.961
46.501 29.946
46.504 29.936
46.515 29.928
46.517 29.918
46.523 29.912
46.544 29.894
46.553 29.894
46.556 29.896
46.56 29.91
46.558 29.943
46.563 29.954
46.57 29.955
46.574 29.951
46.579 29.951
46.583 29.955
46.595 29.953
46.593 29.967
46.633 29.956
46.652 29.948
46.668 29.956
46.683 29.967
46.692 29.973
46.705 29.97
46.729 29.972
46.751 29.977
46.764 29.979
46.768 29.984
46.78 29.964
46.791 29.955
46.801 29.944
46.806 29.94
46.81 29.939
46.814 29.943
46.817 29.951
46.817 29.964
46.817 29.972
46.821 29.975
46.825 29.975
46.829 29.972
46.829 29.96
46.832 29.953
46.841 29.949
46.842 29.943
46.841 29.938
46.839 29.931
46.833 29.924
46.828 29.912
46.828 29.904
46.833 29.898
46.839 29.894
46.843 29.889
46.845 29.883
46.849 29.881
46.855 29.882
46.861 29.891
46.864 29.893
46.872 29.89
46.88 29.888
46.883 29.883
46.884 29.873
46.881 29.866
46.874 29.847
46.871 29.823
46.863 29.796
46.861 29.761
46.864 29.753
46.869 29.749
46.886 29.745
46.903 29.741
46.914 29.738
46.92 29.735
46.924 29.728
46.928 29.719
46.927 29.712
46.923 29.708
46.92 29.701
46.92 29.69
46.921 29.678
46.925 29.663
46.926 29.653
46.933 29.648
46.945 29.645
46.953 29.643
46.956 29.638
46.957 29.626
46.955 29.62
46.952 29.612
46.947 29.598
46.945 29.589
46.948 29.579
46.953 29.575
46.957 29.578
46.964 29.589
46.968 29.6
46.969 29.605
46.979 29.607
46.993 29.606
47.031 29.608
47.04 29.612
47.046 29.617
47.048 29.626
47.053 29.639
47.059 29.636
47.069 29.628
47.083 29.625
47.091 29.623
47.098 29.622
47.103 29.62
47.105 29.61
47.104 29.602
47.102 29.59
47.098 29.578
47.096 29.571
47.091 29.566
47.085 29.564
47.081 29.559
47.08 29.552
47.085 29.546
47.093 29.54
47.098 29.533
47.112 29.516
47.119 29.509
47.126 29.508
47.131 29.515
47.133 29.522
47.133 29.534
47.135 29.547
47.138 29.564
47.139 29.579
47.141 29.587
47.142 29.591
47.15 29.592
47.173 29.583
47.222 29.569
47.235 29.565
47.244 29.561
47.25 29.564
47.256 29.567
47.259 29.573
47.261 29.591
47.262 29.598
47.263 29.604
47.266 29.607
47.272 29.61
47.281 29.606
47.294 29.601
47.321 29.598
47.333 29.594
47.344 29.591
47.357 29.592
47.366 29.59
47.373 29.585
47.378 29.579
47.379 29.57
47.378 29.562
47.375 29.556
47.371 29.549
47.371 29.535
47.372 29.522
47.368 29.509
47.365 29.504
47.357 29.502
47.352 29.503
47.347 29.507
47.34 29.505
47.33 29.498
