segment Bangladesh
21.062 92.255
21.054 92.256
21.041 92.252
21.026 92.249
21.022 92.251
21.001 92.257
20.989 92.256
20.974 92.257
20.948 92.259
20.927 92.263
20.91 92.268
20.902 92.274
20.9 92.276
20.889 92.288
20.884 92.296
20.87 92.3
20.847 92.313
20.815 92.314
20.801 92.326
20.791 92.33
20.777 92.335
20.764 92.337
20.757 92.34
20.752 92.341
20.749 92.34
20.746 92.338
20.744 92.335
20.743 92.326
20.745 92.32
20.747 92.311
20.751 92.306
20.761 92.3
20.771 92.296
20.78 92.298
20.793 92.291
20.872 92.251
20.904 92.226
20.925 92.212
20.946 92.206
20.96 92.196
20.972 92.191
21.008 92.187
21.014 92.185
21.02 92.181
21.027 92.175
21.048 92.157
21.082 92.124
21.116 92.094
21.163 92.053
21.177 92.047
21.228 92.048
21.264 92.05
21.273 92.048
21.288 92.042
21.299 92.041
21.324 92.032
21.333 92.031
21.34 92.029
21.374 92.008
21.376 92.006
21.387 91.995
21.419 91.971
21.436 91.96
21.45 91.954
21.455 91.953
21.457 91.955
21.452 91.961
21.462 91.965
21.47 91.972
21.478 91.982
21.505 91.999
21.506 92.001
21.493 92.009
21.487 92.017
21.486 92.022
21.495 92.017
21.499 92.011
21.502 92.011
21.516 92.002
21.529 91.998
21.539 91.999
21.552 91.995
21.566 91.996
21.575 91.999
21.582 92.012
21.59 92.018
21.593 92.017
21.603 92.025
21.608 92.02
21.62 92.018
21.625 92.018
21.635 92.032
21.642 92.034
21.648 92.039
21.652 92.039
21.658 92.036
21.669 92.041
21.672 92.041
21.68 92.036
21.68 92.033
21.674 92.029
21.682 92.025
21.689 92.026
21.694 92.03
21.696 92.034
21.701 92.035
21.702 92.029
21.712 92.026
21.718 92.021
21.716 92.018
21.677 92.02
21.68 92.018
21.681 92.018
21.685 92.017
21.689 92.014
21.678 92.015
21.669 92.019
21.66 92.012
21.659 92.003
21.654 91.99
21.654 91.985
21.656 91.982
21.666 91.974
21.669 91.974
21.68 91.983
21.687 91.984
21.704 91.98
21.703 91.977
21.696 91.975
21.688 91.978
21.684 91.977
21.678 91.97
21.678 91.967
21.683 91.962
21.698 91.954
21.708 91.951
21.745 91.948
21.75 91.952
21.741 91.965
21.738 91.969
21.742 91.976
21.75 91.985
21.759 91.987
21.76 91.99
21.756 91.996
21.768 91.992
21.761 91.983
21.75 91.976
21.747 91.972
21.75 91.961
21.754 91.954
21.759 91.953
21.776 91.955
21.78 91.959
21.786 91.971
21.793 91.959
21.795 91.948
21.804 91.942
21.802 91.941
21.789 91.934
21.786 91.931
21.775 91.897
21.777 91.891
21.792 91.899
