segment Yemen
13.83 47.607
13.823 47.603
13.813 47.597
13.807 47.585
13.802 47.576
13.773 47.55
13.765 47.535
13.739 47.509
13.737 47.508
13.704 47.471
13.696 47.457
13.687 47.448
13.676 47.427
13.66 47.409
13.653 47.401
13.644 47.384
13.641 47.368
13.637 47.332
13.633 47.32
13.626 47.308
13.62 47.29
13.609 47.258
13.595 47.206
13.594 47.178
13.589 47.165
13.586 47.157
13.584 47.138
13.58 47.124
13.573 47.105
13.565 47.091
13.563 47.08
13.562 47.051
13.559 47.041
13.544 46.978
13.544 46.951
13.539 46.928
13.533 46.916
13.531 46.911
13.518 46.894
13.51 46.877
13.506 46.87
13.488 46.853
13.483 46.843
13.482 46.834
13.467 46.813
13.466 46.809
13.46 46.782
13.448 46.756
13.442 46.735
13.434 46.715
13.427 46.702
13.425 46.697
13.424 46.69
13.427 46.68
13.428 46.676
13.432 46.659
13.435 46.615
13.428 46.58
13.424 46.549
13.416 46.526
13.412 46.491
13.409 46.479
13.409 46.465
13.403 46.442
13.405 46.437
13.413 46.428
13.413 46.426
13.414 46.406
13.408 46.375
13.41 46.368
13.408 46.356
13.413 46.342
13.415 46.326
13.419 46.316
13.42 46.3
13.42 46.297
13.424 46.284
13.427 46.246
13.418 46.172
13.416 46.165
13.418 46.142
13.413 46.122
13.408 46.079
13.41 46.06
13.416 46.045
13.415 46.034
13.412 46.012
13.412 46.005
13.406 45.987
13.402 45.97
13.402 45.934
13.401 45.934
13.4 45.927
13.395 45.917
13.392 45.909
13.39 45.891
13.389 45.882
13.391 45.874
13.385 45.853
13.38 45.833
13.379 45.822
13.38 45.816
13.377 45.805
13.371 45.791
13.362 45.758
13.363 45.746
13.361 45.739
13.35 45.716
13.35 45.71
13.351 45.688
13.347 45.669
13.336 45.649
13.324 45.633
13.311 45.621
13.304 45.614
13.296 45.6
13.287 45.593
13.283 45.586
13.268 45.569
13.259 45.562
13.233 45.536
13.232 45.535
13.197 45.505
13.167 45.483
13.165 45.481
13.156 45.477
13.147 45.473
13.138 45.466
13.131 45.461
13.096 45.423
13.085 45.416
13.083 45.413
13.064 45.394
13.054 45.381
13.051 45.373
13.048 45.362
13.047 45.347
13.045 45.323
13.04 45.297
13.04 45.296
13.037 45.289
13.026 45.253
13.02 45.239
13.003 45.184
12.999 45.175
12.988 45.149
12.976 45.134
12.973 45.133
12.945 45.104
12.933 45.1
12.912 45.089
12.855 45.059
12.82 45.048
12.794 45.044
12.787 45.043
12.782 45.044
12.78 45.047
12.779 45.055
12.776 45.057
12.769 45.056
12.762 45.06
12.759 45.059
12.758 45.055
12.762 45.048
12.762 45.044
12.76 45.042
12.754 45.041
12.751 45.036
12.75 45.028
12.754 45.006
12.756 45.003
12.762 45
12.765 44.998
12.769 44.993
12.778 44.978
12.781 44.975
12.789 44.977
12.794 45
12.795 45.005
12.79 45.019
12.791 45.024
12.796 45.029
