segment Nepal
26.679 85.725
26.692 85.722
26.727 85.725
26.735 85.728
26.743 85.73
26.757 85.727
26.779 85.73
26.797 85.729
26.807 85.727
26.821 85.721
26.826 85.716
26.839 85.697
26.844 85.686
26.85 85.672
26.855 85.646
26.859 85.64
26.875 85.632
26.88 85.624
26.882 85.617
26.877 85.609
26.862 85.6
26.855 85.593
26.854 85.586
26.86 85.582
26.862 85.581
26.866 85.576
26.865 85.569
26.848 85.56
26.849 85.552
26.843 85.547
26.842 85.539
26.821 85.518
26.819 85.512
26.821 85.501
26.813 85.494
26.809 85.483
26.809 85.477
26.807 85.476
26.798 85.47
26.79 85.459
26.791 85.449
26.795 85.433
26.795 85.404
26.782 85.391
26.778 85.38
26.767 85.368
26.766 85.357
26.747 85.331
26.749 85.325
26.755 85.315
26.76 85.294
26.764 85.266
26.77 85.235
26.769 85.229
26.767 85.219
26.767 85.207
26.805 85.18
26.815 85.179
26.829 85.188
26.838 85.19
26.854 85.188
26.864 85.189
26.87 85.19
26.874 85.187
26.875 85.143
26.877 85.112
26.876 85.102
26.871 85.09
26.871 85.085
26.862 85.086
26.859 85.079
26.859 85.072
26.854 85.066
26.857 85.062
26.858 85.058
26.854 85.053
26.855 85.028
26.87 85.026
26.879 85.033
26.884 85.049
26.891 85.055
26.895 85.049
26.897 85.033
26.897 85.02
26.898 85.012
26.901 85
26.902 84.998
26.907 84.997
26.91 85
26.915 85
26.917 84.968
26.931 84.969
26.941 84.976
26.948 84.974
26.963 84.96
26.964 84.949
26.965 84.946
26.971 84.929
26.972 84.92
26.971 84.907
26.985 84.866
27.014 84.842
27.02 84.831
27.022 84.828
27.023 84.824
27.02 84.814
27.011 84.808
27.002 84.799
27.002 84.79
27.005 84.785
27.015 84.781
27.02 84.774
27.018 84.769
27.011 84.757
27.011 84.748
27.023 84.718
27.043 84.666
27.044 84.658
27.049 84.644
27.053 84.646
27.058 84.65
27.069 84.651
27.075 84.653
27.079 84.661
27.084 84.663
27.088 84.668
27.096 84.67
27.098 84.674
27.101 84.675
27.107 84.673
27.11 84.674
27.111 84.677
27.114 84.679
27.131 84.682
27.135 84.683
27.141 84.684
27.15 84.683
27.153 84.684
27.155 84.69
27.157 84.69
27.161 84.683
27.171 84.68
27.179 84.687
27.183 84.684
27.189 84.686
27.198 84.685
27.211 84.691
27.218 84.69
27.226 84.688
27.306 84.643
27.309 84.641
27.328 84.628
27.339 84.603
27.345 84.569
27.348 84.558
27.354 84.516
27.354 84.515
27.359 84.488
27.363 84.482
27.357 84.475
27.356 84.47
27.369 84.445
27.372 84.422
27.37 84.409
27.37 84.396
27.374 84.385
27.376 84.378
27.374 84.356
27.376 84.337
27.384 84.312
27.385 84.299
27.389 84.286
27.395 84.28
27.422 84.277
27.423 84.277
27.43 84.271
27.433 84.263
27.445 84.257
27.448 84.251
27.451 84.235
27.447 84.224
27.439 84.219
27.441 84.211
27.449 84.211
27.467 84.208
27.472 84.185
27.473 84.181
27.477 84.171
27.483 84.168
27.485 84.156
27.492 84.148
27.501 84.148
27.514 84.156
27.52 84.155
27.52 84.148
27.513 84.132
27.51 84.124
27.521 84.112
27.52 84.102
27.518 84.101
27.514 84.098
27.502 84.1
27.492 84.096
27.488 84.09
27.482 84.07
27.452 84.06
27.443 84.049
27.443 84.039
27.435 84.023
27.436 84.019
27.445 83.997
27.444 83.981
27.446 83.965
27.443 83.951
27.448 83.945
27.449 83.927
27.439 83.884
27.44 83.872
27.444 83.858
27.445 83.85
27.436 83.839
27.431 83.834
27.429 83.835
27.415 83.846
27.411 83.859
27.396 83.866
27.381 83.882
27.374 83.882
27.365 83.877
27.352 83.864
27.374 83.829
27.403 83.769
27.435 83.696
27.467 83.624
27.471 83.563
27.479 83.422
27.48 83.389
27.471 83.386
27.47 83.394
27.466 83.396
27.465 83.4
27.461 83.4
27.452 83.399
27.443 83.386
27.436 83.383
27.432 83.385
27.428 83.39
27.423 83.396
27.414 83.408
27.394 83.394
27.388 83.387
27.374 83.386
27.371 83.382
27.369 83.372
27.367 83.371
27.362 83.372
27.359 83.369
27.357 83.363
27.353 83.359
27.345 83.357
27.343 83.352
27.339 83.349
27.337 83.345
27.335 83.339
27.335 83.333
27.338 83.326
27.338 83.321
27.332 83.317
27.333 83.312
27.335 83.294
27.342 83.292
27.348 83.281
27.358 83.272
27.367 83.271
27.383 83.271
27.39 83.267
27.392 83.261
27.415 83.225
27.415 83.224
27.426 83.21
27.437 83.204
27.454 83.19
27.459 83.156
27.457 83.125
27.459 83.121
27.456 83.109
27.456 83.106
27.458 83.087
27.456 83.079
27.455 83.028
27.457 82.997
27.462 82.975
27.467 82.958
27.478 82.947
27.494 82.94
27.497 82.936
27.502 82.931
27.504 82.923
27.499 82.869
27.502 82.836
27.496 82.813
27.496 82.804
27.498 82.799
27.499 82.796
27.503 82.775
27.506 82.77
27.507 82.761
27.511 82.762
27.514 82.761
27.531 82.755
27.548 82.752
27.556 82.748
27.562 82.74
27.565 82.742
27.56 82.751
27.559 82.756
27.563 82.756
27.566 82.751
27.569 82.749
27.581 82.752
27.586 82.757
27.594 82.753
27.596 82.748
27.606 82.743
27.612 82.738
27.626 82.739
27.627 82.735
27.633 82.739
27.637 82.735
27.643 82.739
27.645 82.738
27.649 82.732
27.658 82.728
27.659 82.724
27.662 82.72
27.662 82.716
27.664 82.714
27.674 82.718
27.685 82.718
27.687 82.722
27.69 82.722
27.701 82.712
27.707 82.709
27.72 82.707
27.722 82.701
27.715 82.682
27.718 82.667
27.713 82.64
27.712 82.63
27.706 82.617
27.707 82.602
27.702 82.595
27.7 82.586
27.699 82.576
27.691 82.543
27.691 82.533
27.697 82.528
27.693 82.521
27.689 82.494
27.683 82.472
27.683 82.461
27.684 82.453
27.686 82.445
27.695 82.422
27.717 82.39
27.748 82.362
27.756 82.341
27.761 82.329
27.776 82.302
27.793 82.28
27.826 82.226
27.827 82.224
27.833 82.217
27.84 82.213
27.851 82.191
27.855 82.18
27.858 82.177
27.868 82.153
27.859 82.147
27.869 82.116
27.877 82.115
27.879 82.112
27.887 82.104
27.912 82.083
27.924 82.067
27.93 82.019
27.93 81.993
27.93 81.966
27.893 81.939
27.89 81.938
27.88 81.927
27.869 81.926
27.861 81.919
27.859 81.905
27.859 81.897
27.859 81.89
27.865 81.879
27.875 81.87
27.89 81.847
27.889 81.843
27.899 81.83
27.903 81.822
27.911 81.799
27.983 81.708
27.99 81.7
27.996 81.643
28.005 81.625
28.019 81.6
28.022 81.596
28.025 81.592
28.058 81.537
28.074 81.489
28.08 81.481
28.088 81.48
28.099 81.479
28.117 81.482
28.123 81.476
28.134 81.455
28.14 81.451
28.154 81.449
28.16 81.445
28.169 81.429
28.173 81.414
28.173 81.404
28.173 81.384
28.182 81.338
28.187 81.33
28.188 81.329
28.224 81.284
28.236 81.274
28.28 81.235
28.312 81.235
28.325 81.233
28.334 81.225
28.353 81.214
28.358 81.213
28.367 81.202
28.379 81.159
28.376 81.153
28.379 81.146
28.376 81.135
28.378 81.131
28.389 81.103
28.395 81.088
28.397 81.063
28.398 81.06
28.402 81.061
28.403 81.045
28.408 81.037
28.397 81.034
28.394 81.029
28.403 81.026
28.411 81.016
28.414 81.017
28.425 81.03
28.428 81.03
28.435 81.027
28.435 81.025
28.429 81.023
28.427 81.021
28.428 81.016
28.432 81.011
28.435 81.01
28.443 81.013
28.447 81.013
28.451 81.009
28.452 81
28.448 80.993
28.441 80.989
28.44 80.986
28.444 80.981
28.443 80.979
28.435 80.977
28.434 80.974
28.434 80.97
28.439 80.966
28.442 80.966
28.447 80.968
28.452 80.975
28.455 80.977
28.46 80.973
28.459 80.97
28.449 80.963
28.447 80.958
28.448 80.953
28.453 80.949
28.455 80.942
28.46 80.933
28.46 80.923
28.464 80.917
28.465 80.914
28.461 80.905
28.472 80.903
28.475 80.9
28.493 80.904
28.498 80.902
28.5 80.898
28.502 80.889
28.509 80.875
28.505 80.864
28.496 80.862
28.495 80.859
28.499 80.851
28.493 80.847
28.492 80.844
28.505 80.835
28.507 80.825
28.512 80.822
28.515 80.812
28.516 80.809
28.522 80.807
28.526 80.801
28.527 80.79
28.53 80.786
28.534 80.785
28.542 80.786
28.545 80.785
28.546 80.783
28.549 80.776
28.558 80.769
28.561 80.764
28.57 80.753
28.574 80.74
28.568 80.733
28.573 80.72
28.571 80.708
28.579 80.698
28.59 80.689
28.599 80.691
28.603 80.69
28.608 80.675
28.612 80.671
28.615 80.669
28.62 80.672
28.622 80.671
28.636 80.666
28.639 80.661
28.636 80.652
28.641 80.615
28.642 80.611
28.651 80.608
28.648 80.601
28.648 80.592
28.654 80.589
28.657 80.584
28.667 80.582
28.677 80.589
28.678 80.587
28.685 80.577
28.689 80.562
28.69 80.556
28.688 80.55
28.69 80.544
28.688 80.533
28.676 80.513
28.667 80.502
28.627 80.507
28.624 80.507
28.613 80.512
28.588 80.515
28.578 80.519
28.57 80.526
28.558 80.521
28.554 80.516
28.556 80.511
28.573 80.494
28.58 80.485
28.583 80.476
28.584 80.472
28.6 80.464
28.609 80.462
28.624 80.453
28.632 80.443
28.637 80.423
28.639 80.408
28.629 80.383
28.629 80.373
28.63 80.371
28.639 80.357
28.645 80.356
28.662 80.33
28.67 80.322
28.681 80.319
28.695 80.318
28.699 80.316
28.703 80.306
28.709 80.296
28.706 80.277
28.706 80.275
28.725 80.254
28.733 80.262
28.737 80.263
28.745 80.262
28.753 80.258
28.755 80.246
28.756 80.213
28.767 80.193
28.77 80.188
28.779 80.176
28.825 80.123
28.829 80.114
28.825 80.075
28.827 80.073
28.833 80.067
28.842 80.064
28.917 80.056
28.946 80.077
28.977 80.099
28.978 80.117
29.002 80.131
29.009 80.132
29.011 80.125
29.029 80.129
29.032 80.126
29.043 80.129
29.088 80.145
29.1 80.145
29.103 80.146
29.11 80.153
29.112 80.159
29.116 80.162
29.118 80.164
29.125 80.173
29.132 80.174
29.136 80.176
29.136 80.18
29.122 80.202
29.122 80.213
29.118 80.222
29.117 80.229
29.118 80.233
29.126 80.239
29.129 80.242
29.13 80.247
29.136 80.254
29.14 80.268
29.143 80.269
29.146 80.268
29.162 80.257
29.174 80.254
29.184 80.255
29.188 80.253
29.198 80.241
29.202 80.239
29.218 80.241
29.219 80.249
29.218 80.252
29.209 80.256
29.206 80.259
29.205 80.262
29.207 80.27
29.197 80.28
29.195 80.284
29.2 80.288
29.217 80.291
29.225 80.289
29.232 80.29
29.235 80.294
29.239 80.296
29.246 80.294
29.254 80.297
29.261 80.296
29.27 80.303
29.283 80.303
29.287 80.306
29.293 80.31
29.313 80.313
29.319 80.309
29.322 80.296
29.339 80.278
29.343 80.275
29.351 80.276
29.361 80.269
29.369 80.269
29.378 80.272
29.383 80.269
29.388 80.27
29.393 80.268
29.399 80.254
29.407 80.243
29.408 80.237
29.41 80.236
29.415 80.24
29.442 80.242
29.447 80.246
29.449 80.25
29.449 80.259
29.448 80.264
29.454 80.267
29.454 80.271
29.45 80.276
