segment Namibia
-19.176 20.998
-20 20.997
-20.958 20.997
-22.004 21.002
-22.002 20
-22.055 20
-22.084 20
-22.168 20
-22.251 20
-22.334 20
-22.418 20
-22.501 20
-22.584 20
-22.668 20
-22.751 20
-22.834 20
-22.918 20
-23.001 20
-23.084 20
-23.167 20
-23.251 20
-23.334 20
-23.417 20
-23.501 20
-23.584 20
-23.667 20
-23.75 20
-23.834 20
-23.917 20
-24 20
-24.084 20
-24.167 20
-24.25 20
-24.334 20
-24.417 20
-24.5 20
-24.501 20
-24.584 20
-24.627 20
-24.667 20
-24.75 20
-24.753 20
-24.833 20
-24.879 20
-24.917 20
-25 20
-25.002 20
-25.005 20
-25.085 20
-25.131 20
-25.169 20
-25.252 20
-25.257 20
-25.335 20
-25.383 20
-25.419 20
-25.502 20
-25.509 20
-25.585 20
-25.636 20
-25.668 20
-25.762 19.999
-25.888 19.999
-26.014 19.999
-26.14 19.999
-26.266 19.999
-26.392 19.999
-26.519 19.999
-26.645 19.998
-26.771 19.998
-26.897 19.998
-27.023 19.998
-27.149 19.998
-27.276 19.998
-27.402 19.998
-27.528 19.998
-27.654 19.998
-27.78 19.997
-27.907 19.997
-28.033 19.997
-28.159 19.997
-28.285 19.997
-28.411 19.997
-28.433 19.997
-28.434 19.979
-28.429 19.967
-28.439 19.937
-28.446 19.918
-28.449 19.906
-28.447 19.89
-28.445 19.884
-28.442 19.876
-28.443 19.873
-28.455 19.864
-28.46 19.857
-28.463 19.846
-28.467 19.841
-28.485 19.835
-28.499 19.826
-28.505 19.818
-28.508 19.808
-28.507 19.797
-28.504 19.782
-28.503 19.781
-28.5 19.768
-28.493 19.759
-28.491 19.752
-28.488 19.735
-28.489 19.73
-28.513 19.704
-28.52 19.693
-28.521 19.678
-28.522 19.673
-28.527 19.67
-28.534 19.67
-28.523 19.648
-28.517 19.631
-28.516 19.624
-28.517 19.616
-28.528 19.581
-28.532 19.562
-28.553 19.549
-28.578 19.544
-28.596 19.518
-28.605 19.506
-28.637 19.5
-28.652 19.494
-28.677 19.492
-28.682 19.49
-28.684 19.485
-28.694 19.481
-28.707 19.467
-28.715 19.459
-28.721 19.444
-28.729 19.433
-28.74 19.405
-28.739 19.387
-28.745 19.37
-28.745 19.342
-28.743 19.336
-28.741 19.331
-28.736 19.296
-28.74 19.278
-28.751 19.265
-28.759 19.26
-28.778 19.256
-28.805 19.244
-28.809 19.242
