segment Botswana
-25.641 24.08
-25.633 24.077
-25.63 24.072
-25.629 24.066
-25.641 24.067
-25.649 24.065
-25.652 24.064
-25.654 24.06
-25.653 24.057
-25.651 24.052
-25.64 24.033
-25.64 24.03
-25.648 24.026
-25.649 24.024
-25.649 24.017
-25.651 24.011
-25.65 24.007
-25.643 24.006
-25.637 24.008
-25.63 24.013
-25.625 24.012
-25.623 24.01
-25.624 23.992
-25.622 23.982
-25.616 23.971
-25.617 23.967
-25.618 23.966
-25.621 23.963
-25.623 23.955
-25.635 23.95
-25.636 23.946
-25.636 23.937
-25.626 23.909
-25.618 23.904
-25.608 23.904
-25.603 23.899
-25.598 23.889
-25.597 23.888
-25.593 23.885
-25.579 23.878
-25.577 23.875
-25.577 23.874
-25.576 23.864
-25.572 23.845
-25.566 23.84
-25.558 23.842
-25.551 23.841
-25.546 23.835
-25.549 23.821
-25.549 23.817
-25.545 23.812
-25.533 23.808
-25.528 23.809
-25.523 23.818
-25.519 23.822
-25.515 23.82
-25.51 23.811
-25.51 23.81
-25.51 23.806
-25.513 23.794
-25.512 23.786
-25.505 23.776
-25.504 23.766
-25.501 23.763
-25.494 23.76
-25.487 23.754
-25.48 23.754
-25.469 23.754
-25.459 23.737
-25.445 23.724
-25.447 23.721
-25.451 23.716
-25.457 23.709
-25.456 23.704
-25.447 23.699
-25.445 23.694
-25.445 23.675
-25.443 23.671
-25.437 23.669
-25.427 23.675
-25.423 23.674
-25.419 23.671
-25.415 23.663
-25.418 23.658
-25.422 23.658
-25.427 23.659
-25.429 23.656
-25.432 23.644
-25.432 23.639
-25.428 23.636
-25.425 23.635
-25.412 23.631
-25.407 23.625
-25.403 23.613
-25.4 23.612
-25.398 23.618
-25.394 23.621
-25.388 23.62
-25.385 23.617
-25.381 23.613
-25.381 23.608
-25.383 23.605
-25.391 23.601
-25.393 23.596
-25.393 23.591
-25.391 23.588
-25.38 23.585
-25.377 23.581
-25.371 23.571
-25.369 23.563
-25.367 23.559
-25.364 23.558
-25.36 23.562
-25.357 23.561
-25.353 23.555
-25.349 23.537
-25.34 23.53
-25.338 23.527
-25.339 23.521
-25.349 23.505
-25.349 23.498
-25.348 23.496
-25.344 23.495
-25.328 23.502
-25.322 23.5
-25.313 23.493
-25.312 23.492
-25.299 23.479
-25.297 23.473
-25.298 23.463
-25.296 23.46
-25.292 23.458
-25.289 23.459
-25.285 23.466
-25.279 23.468
-25.274 23.465
-25.274 23.443
-25.279 23.439
-25.304 23.427
-25.309 23.422
-25.309 23.418
-25.309 23.417
-25.307 23.41
-25.302 23.403
-25.302 23.384
-25.298 23.37
-25.296 23.368
-25.282 23.358
-25.288 23.323
-25.284 23.318
-25.279 23.314
-25.278 23.311
-25.287 23.305
-25.288 23.303
-25.289 23.3
-25.288 23.296
-25.285 23.29
-25.272 23.284
-25.269 23.279
-25.269 23.273
-25.273 23.265
-25.273 23.25
-25.278 23.24
-25.277 23.231
-25.272 23.219
-25.273 23.199
-25.278 23.183
-25.279 23.182
-25.282 23.177
-25.296 23.168
-25.299 23.165
-25.301 23.148
-25.311 23.135
-25.311 23.131
-25.306 23.124
-25.301 23.114
-25.307 23.094
-25.312 23.089
-25.32 23.087
-25.326 23.082
-25.328 23.077
-25.329 23.069
-25.327 23.064
-25.322 23.058
-25.317 23.055
-25.315 23.055
-25.303 23.063
-25.296 23.065
-25.29 23.063
-25.288 23.06
-25.288 23.054
-25.291 23.05
-25.308 23.033
-25.306 23.026
-25.293 23.012
-25.296 23.01
-25.302 23.008
-25.303 23.008
-25.308 23.007
-25.322 23.011
-25.33 23.009
-25.334 23.005
-25.333 22.987
-25.335 22.982
-25.338 22.979
-25.353 22.975
-25.366 22.977
-25.38 22.971
-25.393 22.951
-25.405 22.928
-25.418 22.913
-25.439 22.906
-25.44 22.906
-25.469 22.89
-25.476 22.896
-25.478 22.903
-25.482 22.904
-25.486 22.903
-25.486 22.897
-25.486 22.893
-25.478 22.873
-25.479 22.865
-25.483 22.856
-25.489 22.85
-25.494 22.851
-25.5 22.861
-25.506 22.863
-25.519 22.857
-25.529 22.857
-25.543 22.843
-25.552 22.838
-25.555 22.837
-25.57 22.832
-25.579 22.821
-25.584 22.819
-25.604 22.849
-25.614 22.854
-25.617 22.852
-25.619 22.846
-25.62 22.833
-25.623 22.826
-25.63 22.816
-25.635 22.812
-25.636 22.812
-25.644 22.809
-25.653 22.811
-25.657 22.816
-25.657 22.828
-25.659 22.829
-25.664 22.831
-25.682 22.829
-25.696 22.825
-25.71 22.817
-25.718 22.809
-25.719 22.805
-25.724 22.803
-25.727 22.799
-25.728 22.787
-25.729 22.783
-25.733 22.777
-25.741 22.773
-25.77 22.768
-25.784 22.763
-25.788 22.76
-25.791 22.748
-25.793 22.744
-25.797 22.744
-25.803 22.748
-25.813 22.771
-25.814 22.78
-25.817 22.784
-25.822 22.786
-25.837 22.779
-25.847 22.765
-25.849 22.756
-25.858 22.742
-25.869 22.745
-25.882 22.741
-25.884 22.737
-25.885 22.726
-25.887 22.721
-25.891 22.72
-25.9 22.718
-25.902 22.721
-25.905 22.724
-25.91 22.734
-25.913 22.745
-25.916 22.749
-25.921 22.749
-25.926 22.747
-25.943 22.73
-25.951 22.728
-25.97 22.73
-25.974 22.733
-25.986 22.733
-25.995 22.73
-26 22.727
-26.004 22.726
-26.019 22.725
-26.023 22.721
-26.025 22.696
-26.02 22.684
-26.02 22.677
-26.022 22.672
-26.027 22.668
-26.032 22.667
-26.042 22.671
-26.05 22.672
-26.075 22.67
-26.079 22.668
-26.082 22.666
-26.086 22.662
-26.091 22.645
-26.094 22.639
-26.108 22.632
-26.112 22.633
-26.122 22.631
-26.128 22.63
-26.133 22.618
-26.138 22.612
-26.15 22.606
-26.152 22.602
-26.151 22.593
-26.147 22.59
-26.145 22.582
-26.147 22.581
-26.168 22.578
