segment Libya
30.079 9.415
30.099 9.408
30.112 9.409
30.133 9.402
30.138 9.403
30.152 9.4
30.171 9.395
30.178 9.4
30.179 9.401
30.185 9.409
30.189 9.418
30.189 9.433
30.192 9.456
30.195 9.464
30.206 9.476
30.213 9.49
30.218 9.507
30.222 9.512
30.224 9.519
30.224 9.523
30.226 9.529
30.231 9.542
30.234 9.546
30.24 9.575
30.242 9.592
30.25 9.616
30.269 9.649
30.282 9.676
30.292 9.706
30.292 9.707
30.299 9.715
30.316 9.744
30.323 9.775
30.33 9.793
30.334 9.798
30.341 9.815
30.344 9.826
30.345 9.836
30.348 9.87
30.347 9.882
30.349 9.889
30.375 9.918
30.394 9.947
30.405 9.953
30.424 9.962
30.428 9.971
30.434 9.977
30.466 10
30.475 10.007
30.506 10.02
30.512 10.025
30.544 10.056
30.56 10.077
30.566 10.081
30.586 10.1
30.609 10.114
30.61 10.115
30.65 10.152
30.686 10.175
30.694 10.181
30.702 10.195
30.703 10.199
30.707 10.204
30.713 10.213
30.732 10.226
30.772 10.247
30.817 10.273
30.825 10.278
30.841 10.284
30.856 10.287
30.879 10.297
30.887 10.294
30.894 10.295
30.904 10.306
30.909 10.308
30.929 10.297
30.934 10.296
30.965 10.288
30.988 10.287
31.004 10.282
31.007 10.28
31.027 10.275
31.046 10.276
31.057 10.279
31.083 10.288
31.097 10.285
31.121 10.271
31.133 10.262
31.175 10.249
31.199 10.242
31.216 10.232
31.244 10.22
31.247 10.217
31.266 10.211
31.27 10.208
31.293 10.199
31.305 10.195
31.386 10.157
31.389 10.154
31.407 10.148
31.41 10.147
31.423 10.145
31.439 10.147
31.45 10.144
31.463 10.138
31.486 10.138
31.493 10.141
31.505 10.15
31.507 10.154
31.524 10.169
31.525 10.169
31.53 10.171
31.546 10.185
31.547 10.189
31.56 10.201
31.566 10.202
31.573 10.211
31.587 10.222
31.592 10.224
31.612 10.241
31.628 10.251
31.632 10.254
31.636 10.254
31.667 10.279
31.68 10.285
31.685 10.289
31.69 10.291
31.706 10.313
31.722 10.342
31.734 10.365
31.738 10.374
31.74 10.385
31.741 10.394
31.727 10.441
31.728 10.459
31.733 10.48
31.736 10.492
31.747 10.53
31.754 10.542
31.76 10.548
31.762 10.552
31.773 10.562
31.812 10.574
31.814 10.576
31.824 10.582
31.833 10.592
