segment Switzerland
47.315 7.011
47.323 7.013
47.331 7.029
47.333 7.042
47.336 7.051
47.345 7.054
47.348 7.057
47.357 7.049
47.368 7.043
47.375 7.025
47.375 7.007
47.365 6.972
47.362 6.955
47.365 6.936
47.365 6.913
47.367 6.905
47.359 6.874
47.366 6.872
47.378 6.883
47.39 6.896
47.394 6.907
47.401 6.912
47.412 6.913
47.412 6.915
47.417 6.93
47.424 6.935
47.439 6.938
47.444 6.96
47.455 6.975
47.458 6.995
47.465 6.997
47.486 6.98
47.498 6.981
47.502 6.985
47.506 7.003
47.507 7.012
47.507 7.021
47.501 7.042
47.495 7.078
47.496 7.091
47.506 7.126
47.503 7.142
47.489 7.163
47.488 7.175
47.489 7.175
47.492 7.19
47.488 7.192
47.468 7.181
47.456 7.179
47.448 7.175
47.444 7.186
47.44 7.202
47.439 7.207
47.44 7.23
47.436 7.239
47.427 7.246
47.425 7.255
47.435 7.273
47.441 7.314
47.441 7.318
47.442 7.339
47.437 7.367
47.438 7.388
47.441 7.399
47.45 7.413
47.471 7.437
47.47 7.442
47.473 7.446
47.478 7.447
47.479 7.448
47.484 7.439
47.484 7.428
47.486 7.417
47.501 7.431
47.501 7.441
47.488 7.47
47.485 7.473
47.484 7.479
47.486 7.486
47.492 7.499
47.506 7.512
47.514 7.51
47.523 7.497
47.539 7.5
47.554 7.519
47.56 7.527
47.573 7.538
47.584 7.549
47.585 7.551
47.586 7.552
47.586 7.567
47.583 7.569
47.582 7.581
47.582 7.583
47.581 7.605
47.587 7.618
47.593 7.626
47.593 7.627
47.598 7.631
47.598 7.632
47.603 7.639
47.606 7.65
47.611 7.657
47.612 7.665
47.605 7.671
47.596 7.659
47.593 7.665
47.59 7.669
47.581 7.671
47.577 7.66
47.579 7.654
47.577 7.653
47.577 7.65
47.568 7.647
47.567 7.642
47.559 7.637
47.55 7.65
47.545 7.659
47.54 7.67
47.539 7.685
47.54 7.692
47.543 7.702
47.547 7.712
47.554 7.761
47.555 7.765
47.558 7.778
47.558 7.779
47.561 7.794
47.564 7.799
47.576 7.814
