segment Svalbard
78.234 15.77
78.241 15.757
78.249 15.688
78.273 15.604
78.282 15.585
78.287 15.574
78.296 15.573
78.309 15.595
78.346 15.797
78.35 15.849
78.349 15.9
78.355 15.948
78.355 15.994
78.355 16.025
78.362 16.071
78.364 16.113
78.36 16.174
78.35 16.242
78.349 16.277
78.351 16.29
78.352 16.325
78.344 16.374
78.343 16.422
78.338 16.491
78.345 16.558
78.338 16.566
78.338 16.607
78.335 16.642
78.339 16.792
78.343 16.814
78.343 16.839
78.343 16.852
78.353 16.881
78.361 16.939
78.38 17.033
78.381 17.028
78.393 17.073
78.399 17.101
78.412 17.199
78.419 17.234
78.42 17.3
78.423 17.292
78.426 17.294
78.434 17.264
78.437 17.24
78.446 17.233
78.445 17.191
78.441 17.151
78.423 17.042
78.42 16.973
78.413 16.936
78.405 16.936
78.4 16.909
78.398 16.854
78.39 16.86
78.388 16.824
78.392 16.809
78.394 16.772
78.396 16.742
78.415 16.607
78.42 16.586
78.425 16.592
78.436 16.587
