segment Yugoslavia
43.235 16.552
43.235 16.558
43.234 16.56
43.233 16.56
43.233 16.565
43.236 16.57
43.235 16.573
43.231 16.574
43.22 16.571
43.218 16.575
43.214 16.575
43.215 16.583
43.209 16.584
43.215 16.594
43.215 16.599
43.218 16.603
43.221 16.605
43.221 16.609
43.22 16.612
43.216 16.613
43.213 16.615
43.213 16.618
43.214 16.627
43.212 16.637
43.214 16.64
43.218 16.639
43.219 16.642
43.218 16.646
43.214 16.648
43.217 16.654
43.217 16.662
43.213 16.663
43.212 16.666
43.206 16.667
43.199 16.663
43.197 16.665
43.195 16.674
43.189 16.683
43.184 16.685
43.182 16.695
43.179 16.699
43.177 16.694
43.18 16.686
43.179 16.682
43.176 16.683
43.171 16.695
43.163 16.698
43.165 16.708
43.16 16.716
43.16 16.731
43.164 16.748
43.165 16.751
43.162 16.758
43.162 16.774
43.158 16.781
43.161 16.788
43.16 16.804
43.157 16.812
43.163 16.822
43.161 16.829
43.163 16.834
43.162 16.838
43.158 16.845
43.159 16.852
43.158 16.864
43.161 16.866
43.163 16.87
43.163 16.877
43.161 16.878
43.159 16.882
43.152 16.885
43.156 16.893
43.157 16.894
43.152 16.902
43.154 16.912
43.153 16.93
43.154 16.937
43.153 16.969
43.148 16.993
43.15 16.998
43.149 17.005
43.143 17.009
43.142 17.018
43.143 17.029
43.141 17.033
43.14 17.054
43.136 17.099
43.133 17.11
43.134 17.131
43.137 17.137
43.138 17.144
43.133 17.176
43.129 17.184
43.127 17.193
43.125 17.194
43.121 17.183
43.122 17.178
43.12 17.173
43.118 17.167
43.117 17.141
43.115 17.137
43.115 17.131
43.113 17.121
43.113 17.11
43.116 17.106
43.116 17.1
43.112 17.098
43.112 17.094
43.109 17.089
43.114 17.085
43.115 17.08
43.114 17.078
43.115 17.071
43.112 17.054
43.117 17.05
43.113 17.043
43.113 17.027
43.115 17.023
43.116 17.022
43.115 17.008
43.116 16.987
43.118 16.981
43.117 16.977
43.113 16.971
43.115 16.961
43.114 16.954
43.117 16.916
43.117 16.903
43.12 16.89
43.117 16.883
43.118 16.874
43.12 16.862
43.121 16.857
43.128 16.783
43.127 16.725
43.123 16.708
43.123 16.698
43.121 16.687
segment Yugoslavia
43.16 16.407
43.159 16.409
43.157 16.407
43.157 16.404
43.155 16.399
43.159 16.398
43.159 16.394
43.155 16.391
43.156 16.386
43.159 16.384
43.159 16.38
43.156 16.376
43.157 16.373
43.161 16.373
43.165 16.363
43.164 16.354
43.168 16.353
43.169 16.35
43.166 16.34
43.169 16.34
43.178 16.351
43.169 16.376
43.17 16.383
43.167 16.391
43.167 16.396
43.166 16.401
43.168 16.405
43.165 16.408
43.163 16.405
43.16 16.407
segment Yugoslavia
43.164 16.429
43.158 16.433
43.158 16.43
43.153 16.422
43.154 16.419
43.157 16.419
43.164 16.429
segment Yugoslavia
43.08 16.707
43.083 16.701
43.085 16.674
43.09 16.662
43.097 16.672
43.1 16.693
43.097 16.699
43.098 16.714
