        rjb        rcd      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50
  6.629E+01  6.648E+01  3.527E-01  1.768E-01  7.037E-01  5.594E+00  2.804E+00  1.116E+01
  6.830E+01  6.849E+01  3.367E-01  1.688E-01  6.718E-01  5.400E+00  2.706E+00  1.077E+01
  7.038E+01  7.056E+01  3.253E-01  1.630E-01  6.490E-01  5.258E+00  2.635E+00  1.049E+01
  7.252E+01  7.269E+01  3.246E-01  1.627E-01  6.477E-01  5.247E+00  2.630E+00  1.047E+01
  7.473E+01  7.490E+01  3.239E-01  1.623E-01  6.463E-01  5.236E+00  2.624E+00  1.045E+01
  7.700E+01  7.716E+01  3.232E-01  1.620E-01  6.448E-01  5.224E+00  2.618E+00  1.042E+01
  7.934E+01  7.950E+01  3.224E-01  1.616E-01  6.434E-01  5.212E+00  2.612E+00  1.040E+01
  8.175E+01  8.191E+01  3.217E-01  1.612E-01  6.418E-01  5.200E+00  2.606E+00  1.038E+01
  8.424E+01  8.439E+01  3.209E-01  1.608E-01  6.403E-01  5.187E+00  2.600E+00  1.035E+01
  8.680E+01  8.695E+01  3.201E-01  1.604E-01  6.387E-01  5.174E+00  2.593E+00  1.032E+01
  8.944E+01  8.958E+01  3.193E-01  1.600E-01  6.370E-01  5.161E+00  2.587E+00  1.030E+01
  9.216E+01  9.230E+01  3.184E-01  1.596E-01  6.353E-01  5.147E+00  2.580E+00  1.027E+01
  9.497E+01  9.510E+01  3.175E-01  1.591E-01  6.336E-01  5.133E+00  2.573E+00  1.024E+01
  9.785E+01  9.798E+01  3.166E-01  1.587E-01  6.318E-01  5.119E+00  2.565E+00  1.021E+01
  1.008E+02  1.010E+02  3.157E-01  1.582E-01  6.299E-01  5.104E+00  2.558E+00  1.018E+01
  1.039E+02  1.040E+02  3.148E-01  1.578E-01  6.280E-01  5.088E+00  2.550E+00  1.015E+01
  1.071E+02  1.072E+02  3.138E-01  1.573E-01  6.261E-01  5.073E+00  2.542E+00  1.012E+01
  1.103E+02  1.104E+02  3.128E-01  1.568E-01  6.241E-01  5.056E+00  2.534E+00  1.009E+01
  1.137E+02  1.138E+02  3.118E-01  1.562E-01  6.220E-01  5.040E+00  2.526E+00  1.006E+01
  1.171E+02  1.172E+02  3.107E-01  1.557E-01  6.199E-01  5.023E+00  2.517E+00  1.002E+01
  1.207E+02  1.208E+02  3.096E-01  1.552E-01  6.178E-01  5.005E+00  2.508E+00  9.987E+00
  1.244E+02  1.245E+02  3.085E-01  1.546E-01  6.155E-01  4.987E+00  2.499E+00  9.951E+00
  1.281E+02  1.282E+02  3.074E-01  1.540E-01  6.133E-01  4.969E+00  2.490E+00  9.914E+00
  1.320E+02  1.321E+02  3.062E-01  1.535E-01  6.109E-01  4.950E+00  2.481E+00  9.876E+00
  1.360E+02  1.361E+02  3.050E-01  1.528E-01  6.085E-01  4.930E+00  2.471E+00  9.837E+00
  1.402E+02  1.403E+02  3.032E-01  1.520E-01  6.049E-01  4.906E+00  2.459E+00  9.789E+00
  1.444E+02  1.445E+02  2.937E-01  1.472E-01  5.860E-01  4.824E+00  2.418E+00  9.625E+00
  1.488E+02  1.489E+02  2.844E-01  1.426E-01  5.675E-01  4.742E+00  2.377E+00  9.462E+00
  1.534E+02  1.534E+02  2.754E-01  1.380E-01  5.496E-01  4.662E+00  2.336E+00  9.301E+00
  1.580E+02  1.581E+02  2.667E-01  1.337E-01  5.321E-01  4.582E+00  2.296E+00  9.142E+00
  1.628E+02  1.629E+02  2.582E-01  1.294E-01  5.152E-01  4.502E+00  2.257E+00  8.984E+00
  1.678E+02  1.679E+02  2.499E-01  1.253E-01  4.987E-01  4.424E+00  2.217E+00  8.827E+00
